name,episode,cum_reward,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,R_seasonal,R_yield,R_hiad,R_ane
Random,1,0.3477,12524.9,3520.6,859.7,358.1,-0.0427,1.0,0.3061,-0.9111
Random,2,0.3916,13306.6,3258.2,785.2,635.9,-0.0306,1.0,0.3878,-0.8979
Random,3,0.2118,10560.4,3566.5,749.2,946.6,-0.1686,0.7718,0.0053,-0.926
Random,4,0.3563,11491.1,3111.2,792.4,613.3,-0.0674,1.0,0.0489,-0.9077
Random,5,0.3807,11412.9,3157.5,783.2,244.8,-0.0601,0.9955,0.1461,-0.9096
Random,6,0.4053,12572.8,2902.9,759.4,440.5,-0.0297,1.0,0.378,-0.8917
Random,7,0.3255,11093.5,2790.2,803.8,382.3,-0.1001,0.9117,0.0541,-0.9006
Random,8,0.3267,11304.5,2992.4,788.3,231.3,-0.0755,0.9671,0.0936,-0.9056
Random,9,0.1658,9923.4,3313.3,802.9,500.8,-0.2554,0.6046,-0.1972,-0.9251
Random,10,0.3275,11535.8,3070.1,828.7,654.1,-0.0697,1.0,0.0211,-0.9061
Random,11,0.1587,9988.0,3138.8,885.5,359.1,-0.2219,0.6215,0.0563,-0.9204
Random,12,0.2438,10333.6,3090.2,796.3,471.7,-0.195,0.7122,-0.0502,-0.9164
Random,13,0.1338,9882.0,3028.5,802.5,1103.0,-0.2449,0.5937,-0.0688,-0.9184
Random,14,0.2371,10544.9,3403.3,804.8,532.4,-0.1725,0.7677,-0.0285,-0.9225
Random,15,0.2379,10489.6,3459.1,795.5,746.6,-0.1722,0.7532,0.038,-0.9242
Random,16,0.1736,10197.2,3127.4,788.9,477.2,-0.2098,0.6764,-0.048,-0.9185
Random,17,0.3461,11640.5,3324.9,871.5,569.5,-0.0492,1.0,0.2456,-0.9125
Random,18,0.2193,10215.3,3134.8,784.5,820.9,-0.1871,0.6812,0.16,-0.9185
Random,19,0.1786,9940.8,2932.8,743.2,478.0,-0.24,0.6091,-0.0911,-0.9153
Random,20,0.2982,11020.6,3222.8,816.6,391.4,-0.1051,0.8926,0.1221,-0.9145
