episode,timestep,ep_length,cum_reward,w_yield,w_neff,w_water,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,critic_loss,actor_loss
1,161,161,-0.6327,0.0141,0.5648,0.4211,1.0,-0.9423,-1.0,12524.9,5429.6,2323.9,358.1,nan,
2,321,160,0.8752,0.8149,0.133,0.0521,1.0,-0.9779,-1.0,13306.6,15047.0,3986.1,635.9,nan,
3,482,161,-0.205,0.2875,0.0628,0.6498,0.7718,-0.9833,-1.0,10560.4,15785.9,924.4,946.6,nan,
4,643,161,-0.1828,0.268,0.3253,0.4068,1.0,-0.974,-1.0,11491.1,11037.9,2397.0,613.3,nan,
5,800,157,0.0954,0.42,0.1084,0.4716,0.9955,-0.9828,-1.0,11412.9,16563.4,1884.2,244.8,nan,
6,959,159,0.6134,0.6876,0.1257,0.1867,1.0,-0.9793,-1.0,12572.8,15206.1,3402.0,440.5,nan,
7,1120,161,0.8435,0.8414,0.0544,0.1042,0.9117,-0.9817,-1.0,11093.5,15137.1,3603.0,382.3,nan,
8,1273,153,0.8347,0.8187,0.0856,0.0957,0.9671,-0.9806,-1.0,11304.5,14570.1,3854.7,231.3,nan,
9,1435,162,0.2876,0.654,0.2538,0.0922,0.6046,-0.9819,-1.0,9923.4,13692.7,4174.3,500.8,nan,
10,1597,162,0.0138,0.3711,0.1523,0.4765,1.0,-0.9794,-1.0,11535.8,14004.8,1862.0,654.1,nan,
11,1761,164,-0.2611,0.2941,0.2447,0.4612,0.6215,-0.9815,-1.0,9988.0,13512.9,2141.1,359.1,nan,
12,1925,164,0.3972,0.6765,0.0673,0.2562,0.7122,-0.9835,-1.0,10333.6,15627.4,3164.0,471.7,nan,
13,2080,155,-0.2267,0.2928,0.5542,0.1529,0.5937,-0.9551,-1.0,9882.0,5499.9,3302.4,1103.0,nan,
14,2241,161,0.8338,0.915,0.0529,0.0321,0.7677,-0.9835,-1.0,10544.9,15999.8,4094.9,532.4,nan,
15,2403,162,0.1628,0.5293,0.3114,0.1593,0.7532,-0.9789,-1.0,10489.6,12437.3,3866.2,746.6,nan,
16,2561,158,-0.1259,0.3696,0.3543,0.2761,0.6764,-0.9758,-1.0,10197.2,10523.1,3309.4,477.2,nan,
17,2724,163,-0.3701,0.0143,0.8233,0.1624,1.0,-0.7104,-1.0,11640.5,1005.0,3860.8,569.5,nan,
18,2886,162,-0.1231,0.362,0.2412,0.3968,0.6812,-0.9799,-1.0,10215.3,12692.2,2517.1,820.9,nan,
19,3044,158,0.3602,0.7021,0.2603,0.0375,0.6091,-0.9804,-1.0,9940.8,12701.0,4196.3,478.0,nan,
20,3208,164,0.0675,0.4062,0.4968,0.0971,0.8926,-0.9593,-1.0,11020.6,6769.1,4191.6,391.4,nan,
21,3363,155,0.0624,0.4851,0.4248,0.0901,0.6642,-0.9714,-1.0,10150.7,8878.3,3657.4,571.7,nan,
22,3524,161,-0.0631,0.3496,0.5648,0.0856,0.7713,-0.9535,-1.0,10558.5,5679.4,3939.5,653.0,nan,
23,3679,155,0.1345,0.5583,0.4416,0.0001,0.5428,-0.971,-1.0,9688.1,8357.7,3738.6,552.0,nan,
24,3844,165,0.673,0.714,0.1121,0.1739,1.0,-0.98,-1.0,12818.1,16047.4,3627.0,708.2,nan,
25,3997,153,-0.4442,0.1863,0.3993,0.4144,0.5052,-0.9738,-1.0,9545.0,9108.8,2161.5,944.9,nan,
26,4156,159,-0.5416,0.08,0.3837,0.5363,0.9985,-0.9695,-1.0,11424.2,9350.5,1529.5,497.1,nan,
27,4313,157,-0.3063,0.1987,0.4499,0.3515,1.0,-0.9645,-1.0,11478.1,8086.3,2671.3,311.6,nan,
28,4468,155,0.7709,0.843,0.1466,0.0103,0.8267,-0.9817,-1.0,10769.8,14749.5,3838.3,296.2,nan,
29,4631,163,1.0364,0.9026,0.0559,0.0414,1.0,-0.9822,-1.0,11908.1,16726.4,3974.5,526.3,nan,
30,4792,161,-0.5878,0.0468,0.5341,0.4191,0.8051,-0.9576,-1.0,10687.5,6301.5,2293.6,442.2,nan,
31,4953,161,-0.4777,0.1271,0.3168,0.5561,0.7998,-0.9757,-1.0,10667.4,10964.8,1418.9,461.2,nan,
32,5115,162,0.7063,0.1829,0.0076,0.8095,-0.4231,-0.9823,0.2744,6008.0,8484.4,290.3,519.0,0.172007,0.339414
33,5278,163,0.1164,0.3134,0.1644,0.5222,0.8564,-0.9484,-0.8873,10883.0,5270.6,754.9,445.0,0.064012,
34,5433,155,0.6682,0.6194,0.2793,0.1013,0.9734,-0.9647,-1.0,11328.8,8027.6,979.6,546.8,0.033019,0.29303
