episode,total_steps,phase,fault_type,is_clean,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,w_yield,w_neff,w_water,ep_len,h_norm
1,154,1,packet_loss,0,0.7277412414550781,-0.9798429608345032,-1.0,10392.694091796875,12889.645909249026,4073.9678671360016,0.747992753982544,0.2500014007091522,0.0020058832596987486,154,0.0
2,311,1,packet_loss,0,0.9938157200813293,-0.9808241128921509,-1.0,11406.43798828125,14870.831289716394,4069.285389983697,0.8536619544029236,0.1400945484638214,0.00624349620193243,157,0.0
3,465,1,clean,1,1.0,-0.9807224273681641,-1.0,11968.365478515625,15521.084089546235,3784.9652530425064,0.9497877359390259,0.038085367530584335,0.012126870453357697,154,0.0
4,626,1,clean,1,1.0,-0.9086662530899048,-1.0,11698.739013671875,3202.1961153811717,4318.696266428935,0.32014578580856323,0.6747007369995117,0.005153480917215347,161,0.0
5,785,1,packet_loss,0,-0.07809952646493912,-0.989065945148468,-0.18043911457061768,7322.4407958984375,16742.31226992607,472.1756479740143,0.0,0.0,1.0,159,0.0
6,944,1,clean,1,0.07998505234718323,-0.9873786568641663,-0.13991549611091614,7924.7430419921875,15697.094608664513,455.9661957472563,0.0,0.0,1.0,159,0.0
7,1104,1,clean,1,0.49803951382637024,-0.9820985198020935,-1.0,9517.530517578125,13291.521957687011,3985.425370440344,0.6283754706382751,0.24185363948345184,0.129770889878273,160,0.0
8,1263,1,clean,1,0.9850158095359802,-0.9808708429336548,-1.0,11372.91015625,14863.319065868855,4033.560146065429,1.0,0.0,0.0,159,0.0
9,1424,1,clean,1,0.8271567821502686,-0.9826321005821228,-1.0,10771.46728515625,15504.845493032597,4029.6091987490654,1.0,0.0,0.0,161,0.0
10,1579,1,clean,1,0.7408937215805054,-0.9820417165756226,-1.0,10442.80517578125,14537.579849345842,3181.7536845611194,0.6470913290977478,0.1111288070678711,0.2417798638343811,155,0.0
11,1731,1,clean,1,-0.15984098613262177,-0.42017579078674316,-1.0,7011.005859375,302.29014736413956,3743.9254416823387,0.0,1.0,0.0,152,0.0
12,1888,1,clean,1,0.9345735311508179,-0.9810429215431213,-1.0,11180.72509765625,14744.782488384948,3985.0859559060495,0.7943909764289856,0.14532391726970673,0.06028510630130768,157,0.0
13,2051,1,clean,1,1.0,-0.9640414714813232,-1.0,11744.310302734375,8165.179828597382,4079.6181736624385,0.5004174709320068,0.4531106650829315,0.04647186025977135,163,0.0
14,2219,1,clean,1,0.7025262117385864,-0.9841780066490173,-1.0,10296.624755859375,16269.49047713528,3049.384388577397,0.5558218359947205,0.12319358438253403,0.3209846019744873,168,0.0
15,2380,1,clean,1,0.8098698854446411,-0.9592897891998291,-1.0,10705.604248046875,6574.276458394383,3055.9845594630424,0.21703895926475525,0.5162198543548584,0.26674118638038635,161,0.0
16,2543,1,noise,0,0.897055983543396,-0.9798880219459534,-1.0,11037.783203125,13720.392031498637,2231.4913259258756,0.3191271722316742,0.25372669100761414,0.42714613676071167,163,0.0
17,2701,1,clean,1,1.0,-0.9806288480758667,-0.12567290663719177,11938.095703125,15407.07126026866,450.26916229724884,0.08537382632493973,0.10020387917757034,0.8144223093986511,158,0.0
18,2853,1,clean,1,0.7822791337966919,-0.9815533757209778,-0.32487162947654724,10600.4833984375,14366.449738216848,529.9486467207025,0.11257818341255188,0.15631598234176636,0.7311058044433594,152,0.0
19,3001,1,noise,0,0.6723003387451172,-0.9796994924545288,-0.37332454323768616,10181.464233398438,12538.451906543514,549.3298155841912,0.03142944350838661,0.2444475293159485,0.7241230010986328,148,0.0
20,3159,1,clean,1,0.5357552170753479,-0.9807389378547668,-1.0,9661.227416992188,12539.836320833,2340.9706318982494,0.34224554896354675,0.25263461470603943,0.4051198363304138,158,0.0
21,3318,1,clean,1,0.9944690465927124,-0.9814927577972412,-1.0,11408.927001953125,15411.411428889565,893.0941271050957,0.2002718299627304,0.14696915447711945,0.6527590155601501,159,0.0
22,3483,1,noise,0,0.5887176990509033,-0.9621267318725586,-1.0,9863.014526367188,6510.539892150458,3405.1208444525255,0.24632318317890167,0.5286325812339783,0.22504425048828125,165,0.0
23,3640,1,clean,1,1.0,-0.9054853320121765,-1.0,12304.60693359375,3254.6808903019137,2835.0843043201535,0.026151949539780617,0.6669812202453613,0.306866854429245,157,0.0
24,3806,1,clean,1,0.635524332523346,-0.9798638820648193,-1.0,10041.34765625,12466.841615478465,3224.664866768028,0.43731269240379333,0.2985120117664337,0.26417529582977295,166,0.0
25,3961,1,clean,1,0.8965378999710083,-0.981730043888092,-1.0,11035.809326171875,15101.05394488573,3970.741543531418,1.0,0.0,0.0,155,0.0
26,4123,1,clean,1,0.9419233798980713,-0.9832007884979248,-0.7879331707954407,11208.72802734375,16680.42201930679,715.1732759423076,0.2155401110649109,0.08691588044166565,0.6975439786911011,162,0.0
27,4287,1,clean,1,0.9257328510284424,-0.9833243489265442,-1.0,11147.042236328125,16711.55269561452,1375.7650986769825,0.337782621383667,0.1015438586473465,0.5606735348701477,164,0.0
28,4443,1,clean,1,0.5277775526046753,-0.9754481911659241,-1.0,9630.83251953125,9806.6307864837,3597.043780596201,0.5639104247093201,0.35263264179229736,0.08345694839954376,156,0.0
29,4605,1,clean,1,0.7136842608451843,-0.9347757697105408,-1.0,10339.136962890625,3962.9212161161417,2741.034905955997,0.02537653036415577,0.6380508542060852,0.3365726172924042,162,0.0
30,4763,1,clean,1,0.657805860042572,-0.9724612236022949,-1.0,10126.240234375,9192.720479707406,1332.2962921784765,0.026389330625534058,0.4043996036052704,0.5692110657691956,158,0.0
31,4930,1,clean,1,0.9776396751403809,-0.9790335893630981,-1.0,11344.80712890625,13527.356632482415,3851.671721582133,0.6407997608184814,0.250288188457489,0.10891208052635193,167,0.0
32,5087,1,clean,1,0.66363525390625,-0.9832450747489929,-1.0,10148.450317382812,15142.465687039004,2356.364081841476,0.5007675290107727,0.11410200595855713,0.38513049483299255,157,0.0
33,5246,1,noise,0,1.0,-0.9791312217712402,-1.0,11757.208251953125,14084.678971710502,3825.3965077708795,0.6313246488571167,0.16397245228290558,0.20470291376113892,159,0.0
34,5414,1,clean,1,0.6929941177368164,-0.9773259162902832,-1.0,10260.3076171875,11312.803036399122,2865.7552018189504,0.2966462969779968,0.34165576100349426,0.3616979718208313,168,0.0
35,5582,1,clean,1,0.8334951400756836,-0.979833722114563,-1.0,10795.616455078125,13383.266522721024,961.3490836173927,0.10492971539497375,0.2417362481355667,0.6533340215682983,168,0.0
36,5737,1,clean,1,1.0,-0.928351879119873,-1.0,12131.59912109375,4233.048960992187,3530.9065021822835,0.17408223450183868,0.6171087622642517,0.2088090181350708,155,0.0
37,5896,1,clean,1,0.2631158232688904,-0.9851832985877991,-0.15569092333316803,8622.471313476562,14548.596889146063,462.2763693071902,0.09956660121679306,0.1416357457637787,0.7587976455688477,159,0.0
38,6054,1,clean,1,0.6806743144989014,-0.9842910170555115,-0.15807576477527618,10213.369140625,16254.025623679161,463.23030307888985,0.0,0.0,1.0,158,0.0
39,6218,1,clean,1,1.0,-0.9811475872993469,-0.19955073297023773,12117.247314453125,16068.563002943993,479.8202935308218,0.0,0.0,1.0,164,0.0
40,6370,1,clean,1,0.5326155424118042,-0.9837605357170105,-0.1054302379488945,9649.26513671875,14854.68000471592,442.1720959916711,0.0,0.0,1.0,152,0.0
41,6533,1,clean,1,0.9356763362884521,-0.8837770223617554,-1.0,11184.9267578125,2405.919252782863,3158.0269875282,0.02516476996243,0.7199121713638306,0.2549230456352234,163,0.0
42,6694,1,clean,1,1.0,-0.9801535606384277,-1.0,13095.859375,16496.484451770782,4253.24257093668,1.0,0.0,0.0,161,0.0
43,6849,1,clean,1,1.0,-0.9175713658332825,-1.0,11899.9169921875,3609.157852496617,3043.9581978066917,0.1038285493850708,0.6493687629699707,0.2468027025461197,155,0.0
44,7010,1,clean,1,1.0,-0.7733976244926453,-1.0,11588.66455078125,1278.5241646747445,4181.611514094727,0.13230542838573456,0.7990759611129761,0.06861861795186996,161,0.0
45,7167,1,clean,1,0.5900604724884033,-0.9820948243141174,-1.0,9868.130493164062,13778.334523618507,3792.593703133211,0.6924453973770142,0.2217857837677002,0.08576882630586624,157,0.0
46,7329,1,clean,1,0.8911668062210083,-0.6387444138526917,-1.0,11015.345458984375,762.2958987239646,3727.931645996532,0.12103321403265,0.844408392906189,0.03455840051174164,162,0.0
47,7487,1,clean,1,0.4489542543888092,-0.9829351305961609,-1.0,9330.515747070312,13669.20261260629,936.4111283252197,0.14816801249980927,0.20981049537658691,0.6420214772224426,158,0.0
48,7644,1,packet_loss,0,1.0,-0.9783921837806702,-0.5980779528617859,11828.4765625,13685.400810531533,639.2311824639426,0.07151634246110916,0.21917831897735596,0.7093053460121155,157,0.0
49,7803,1,clean,1,0.7213858962059021,-0.9748833179473877,-1.0,10368.480224609375,10320.310896141236,3289.46475500819,0.4201600253582001,0.34156301617622375,0.23827698826789856,159,0.0
50,7964,1,clean,1,0.9604443907737732,-0.9230250716209412,-1.0,11279.293212890625,3663.3011804367034,3117.3103568578363,0.04263073951005936,0.6503157615661621,0.30705350637435913,161,0.0
51,8121,1,clean,1,1.0,-0.9497490525245667,-1.0,11957.225341796875,5948.758594127028,1918.2995330203091,0.5058259963989258,0.3398686647415161,0.1543053239583969,157,7.840941905975342
52,8277,1,clean,1,0.43448781967163086,-0.9706661701202393,-0.18037575483322144,9275.398559570312,7905.03259219995,472.1502992391494,0.23854705691337585,0.059707991778850555,0.7017449140548706,156,8.076411247253418
53,8440,1,clean,1,1.0,-0.9508674144744873,-1.0,12077.69287109375,6145.46032028021,1587.682010263421,0.25413814187049866,0.40571415424346924,0.3401477038860321,163,8.05364990234375
54,8606,1,clean,1,1.0,-0.9616032838821411,-1.0,11704.833984375,7620.9850567983085,1358.902377542086,0.545610785484314,0.08216644078493118,0.37222278118133545,166,8.177135467529297
55,8764,1,clean,1,0.900399923324585,-0.9601344466209412,-1.0,11050.523681640625,6929.86616808176,1910.9254364073277,1.0,0.0,0.0,158,8.103724479675293
56,8930,1,clean,1,-0.33337801694869995,-0.35698431730270386,-1.0,6349.8297119140625,246.876934081316,2190.20630773386,0.038166921585798264,0.919606626033783,0.042226459830999374,166,6.987681865692139
57,9095,1,clean,1,0.8967544436454773,-0.9484298825263977,-1.0,11036.634521484375,5350.302248898525,1556.8395955616052,0.6567705273628235,0.2765962481498718,0.06663324683904648,165,8.182870864868164
58,9262,1,clean,1,0.6825405955314636,-0.9638402462005615,0.24132408201694489,10220.479736328125,7066.200565159321,303.47036573290825,0.033002205193042755,0.032435864210128784,0.9345619082450867,167,8.317620277404785
59,9428,1,packet_loss,0,0.23076239228248596,-0.957115113735199,-1.0,8499.204711914062,4954.665002852735,1786.1341312527657,0.4629420042037964,0.4609055817127228,0.07615240663290024,166,8.050249099731445
60,9583,1,clean,1,-0.6759427189826965,-0.9773836135864258,0.2842860817909241,5044.658203125,5576.335703372955,286.28556354762986,0.10041835904121399,0.028446584939956665,0.8711350560188293,155,8.197131156921387
61,9743,1,clean,1,0.7710681557655334,-0.9302065372467041,-1.0,10557.769775390625,3781.788839106338,1300.2639535292983,0.4844251275062561,0.5010020732879639,0.014572801068425179,160,8.098685264587402
62,9904,1,clean,1,1.0,-0.6379721760749817,-1.0,12479.58984375,861.7838383726325,1407.3280250799892,0.007835782133042812,0.7905346751213074,0.20162956416606903,161,7.755182266235352
