episode,total_steps,fault_type,phase,is_clean,R_yield,R_ane,R_water_eff,ep_len,critic_loss
1,164,clean,0,1,0.7729,-0.9833,-0.1777,164,0.0
2,316,clean,0,1,0.9051,-0.9807,-1.0,152,0.0
3,477,clean,0,1,0.9919,-0.8179,-1.0,161,0.0
4,637,clean,0,1,0.1217,-0.3685,-1.0,160,0.0
5,791,clean,0,1,0.5752,-0.9787,-1.0,154,0.0
6,962,clean,0,1,0.6234,-0.7602,-1.0,171,0.0
7,1122,clean,0,1,0.5375,-0.985,-0.182,160,0.0
8,1277,clean,0,1,-0.0169,-0.3891,-1.0,155,0.0
9,1434,clean,0,1,0.8971,-0.9804,-1.0,157,0.0
10,1592,clean,0,1,1.0,-0.9821,-1.0,158,0.0
11,1753,clean,0,1,1.0,-0.9624,-1.0,161,0.0
12,1907,clean,0,1,0.9378,-0.9703,-1.0,154,0.0
13,2065,clean,0,1,0.8372,-0.9812,-1.0,158,0.0
14,2220,clean,0,1,0.9717,-0.9208,-1.0,155,0.0
15,2374,clean,0,1,0.74,-0.9252,-1.0,154,0.0
16,2537,clean,0,1,0.9665,-0.9807,-1.0,163,0.0
17,2698,clean,0,1,0.6286,-0.9781,-1.0,161,0.0
18,2851,clean,0,1,0.8433,-0.7347,-1.0,153,0.0
19,3021,clean,0,1,1.0,-0.8614,-1.0,170,0.0
20,3183,clean,0,1,1.0,-0.9834,-1.0,162,0.0
21,3345,clean,0,1,0.8659,-0.9797,-0.2365,162,0.0
22,3503,clean,0,1,0.0814,-0.9867,-0.0989,158,0.0
23,3665,clean,0,1,1.0,-0.9662,-1.0,162,0.0
24,3829,clean,0,1,0.3956,-0.9872,-0.1994,164,0.0
25,3992,clean,0,1,1.0,-0.9778,-0.4882,163,0.0
26,4158,clean,0,1,0.7174,-0.9839,-1.0,166,0.0
27,4317,clean,0,1,0.8438,-0.5304,-1.0,159,0.0
28,4481,clean,0,1,1.0,-0.9827,-1.0,164,0.0
29,4641,clean,0,1,0.9341,-0.9659,-1.0,160,0.0
30,4801,clean,0,1,0.9852,-0.9749,-1.0,160,0.0
31,4966,clean,0,1,1.0,-0.9661,-1.0,165,0.0
32,5129,clean,0,1,1.0,-0.9165,-1.0,163,1.556696
33,5292,clean,0,1,1.0,-0.6655,-1.0,163,0.1327
34,5454,clean,0,1,0.8548,-0.8394,-1.0,162,0.049559
35,5614,clean,0,1,0.7352,-0.9796,-1.0,160,0.030094
36,5774,clean,0,1,0.8939,-0.9661,-1.0,160,0.02477
37,5937,clean,0,1,-0.368,-0.9816,-0.0619,163,0.020667
38,6097,clean,0,1,0.6475,-0.9674,-0.6351,160,0.021
39,6260,clean,0,1,0.869,-0.8706,-1.0,163,0.023417
40,6422,clean,0,1,1.0,-0.9543,-0.7096,162,0.019461
41,6585,clean,0,1,0.8585,-0.853,-1.0,163,0.017383
42,6743,clean,0,1,1.0,-0.9642,-1.0,158,0.016321
43,6903,clean,0,1,1.0,-0.9517,-1.0,160,0.018531
44,7070,clean,0,1,0.5387,-0.9684,-1.0,167,0.015251
45,7230,clean,0,1,-0.0372,-0.3323,-1.0,160,0.020525
46,7388,clean,0,1,1.0,-0.9611,-1.0,158,0.014835
47,7546,clean,0,1,0.8831,-0.9625,-1.0,158,0.020308
48,7707,clean,0,1,0.262,-0.9696,0.489,161,0.010392
49,7866,clean,0,1,1.0,-0.9304,-1.0,159,0.012843
50,8024,clean,0,1,0.2661,-0.9719,-1.0,158,0.013642
51,8181,clean,0,1,0.8106,-0.9214,-1.0,157,0.023675
52,8345,clean,0,1,0.9403,-0.9216,-1.0,164,0.013005
53,8501,clean,0,1,1.0,-0.933,-1.0,156,0.010195
54,8660,clean,0,1,1.0,-0.8742,-1.0,159,0.01306
55,8821,clean,0,1,0.9978,-0.955,-1.0,161,0.008962
56,8987,clean,0,1,1.0,-0.8961,-1.0,166,0.013688
57,9145,clean,0,1,0.5816,-0.9521,-1.0,158,0.00703
