episode,timestep,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,w_yield,w_neff,w_water
1,154,0.7277412414550781,-0.9842039942741394,-1.0,10392.694091796875,16448.29382436913,1908.2437915177238,0.45858657360076904,0.07413364201784134,0.4672797918319702
2,311,0.08901793509721756,-0.36319082975387573,-1.0,7959.1583251953125,312.46246314048767,3818.791292577982,0.0,1.0,0.0
3,465,1.0,-0.9671223759651184,-1.0,11968.365478515625,9100.699312425297,3855.6401529312134,1.0,0.0,0.0
4,626,1.0,-0.9097312092781067,-1.0,11698.739013671875,3239.9733901359878,3791.963332176197,0.22137655317783356,0.6710771918296814,0.10754626989364624
5,785,1.0,-0.9727076292037964,-1.0,11871.591796875,10874.462791017997,1848.8171075869561,0.1614803969860077,0.3606046736240387,0.4779149293899536
6,944,-0.09502821415662766,-0.42444589734077454,-1.0,7257.9425048828125,315.2589113712311,4058.6735318005085,0.0,1.0,0.0
7,1104,0.49803951382637024,-0.9863162636756897,-1.0,9517.530517578125,17388.374257650034,1592.8483427616497,0.3780789077281952,0.09070070832967758,0.5312203764915466
8,1263,0.9850158095359802,-0.9064456820487976,-1.0,11372.91015625,3039.118972352277,2664.857618239754,0.18051737546920776,0.6856277585029602,0.13385486602783203
9,1424,0.8271567821502686,-0.9544463157653809,-1.0,10771.46728515625,5911.417099337131,2378.2122319084115,0.32287755608558655,0.2763995826244354,0.400722861289978
10,1579,0.7408937215805054,-0.9837697148323059,-1.0,10442.80517578125,16085.366187058788,1427.9141386403462,0.5087003707885742,0.014659097418189049,0.476640522480011
11,1731,0.6594552397727966,-0.9841746091842651,-1.0,10132.5244140625,16006.7556681633,2978.4253388598545,0.7328618168830872,0.0004208296013530344,0.2667173445224762
12,1888,0.9345735311508179,-0.9740545749664307,-1.0,11180.72509765625,10773.300996621203,3012.5656815696975,0.38711288571357727,0.3338800370693207,0.27900707721710205
13,2051,1.0,-0.9795443415641785,-1.0,11744.310302734375,14353.37296510303,3605.738647350674,0.6849697232246399,0.22197027504444122,0.0930599719285965
14,2219,0.7025262117385864,-0.9844036102294922,-1.0,10296.624755859375,16504.830615009858,1404.4809441685761,0.3421168327331543,0.08778121322393417,0.5701019763946533
15,2380,0.8098698854446411,-0.9795989990234375,-1.0,10705.604248046875,13118.975989648357,4012.1090362547575,0.6921219229698181,0.3011546730995178,0.006723426748067141
16,2543,0.897055983543396,-0.9697866439819336,-1.0,11037.783203125,9133.195139925703,1340.6722654539808,0.005982843693345785,0.4170776903629303,0.5769394636154175
17,2701,1.0,-0.9714511632919312,-1.0,11938.095703125,10454.10747946816,3504.9558624810493,0.45021986961364746,0.3614111840724945,0.18836893141269684
18,2853,0.7713049650192261,-0.9839153289794922,-0.0969858393073082,10558.671875,16411.04904216528,438.79433521069586,0.0,0.0,1.0
