episode,timestep,ep_length,cum_reward,w_yield,w_neff,w_water,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,critic_loss,actor_loss
1,161,161,1.2128,1.0,0.0,0.0,1.0,-0.9807,-1.0,12524.9,16259.2,3921.2,358.1,nan,
2,321,160,-0.273,0.1941,0.5252,0.2807,1.0,-0.9463,-1.0,13306.6,6193.5,3091.8,635.9,nan,
3,482,161,0.2116,0.0,0.0,1.0,0.7553,-0.9828,-0.1774,10497.5,15257.8,470.9,946.6,nan,
4,643,161,1.2231,1.0,0.0,0.0,1.0,-0.9824,-1.0,11491.1,16291.4,4105.7,613.3,nan,
5,800,157,0.4049,0.0483,0.0867,0.865,0.9308,-0.9814,-0.1647,11166.4,15011.1,465.9,244.8,nan,
6,959,159,-0.5906,0.0306,0.5539,0.4155,1.0,-0.9438,-1.0,12572.8,5590.6,2156.4,440.5,nan,
7,1120,161,-0.4599,0.1271,0.315,0.5579,0.9117,-0.9755,-1.0,11093.5,11298.7,1384.0,382.3,nan,
8,1273,153,-0.2107,0.0,1.0,0.0,0.1793,-0.3205,-1.0,8303.3,305.5,3946.5,231.3,nan,
9,1435,162,-0.2468,0.1339,0.1716,0.6945,0.6046,-0.9813,-0.7618,9923.4,13264.5,704.7,500.8,nan,
10,1597,162,-0.351,0.1643,0.5204,0.3154,1.0,-0.9561,-1.0,11535.8,6570.9,2863.9,654.1,nan,
11,1761,164,-0.4156,0.1838,0.1488,0.6674,0.6215,-0.9839,-1.0,9988.0,15507.4,879.9,359.1,nan,
12,1925,164,-0.3809,0.0959,0.7685,0.1356,0.7122,-0.847,-1.0,10333.6,1688.6,3601.4,471.7,nan,
13,2080,155,0.2718,0.0,0.0,1.0,0.5463,-0.9845,-0.1238,9701.3,15612.9,449.5,1103.0,nan,
14,2241,161,-0.3627,0.1845,0.1554,0.6601,0.7677,-0.9829,-1.0,10544.9,15430.0,887.9,532.4,nan,
15,2403,162,0.9602,1.0,0.0,0.0,0.7532,-0.9845,-1.0,10489.6,16957.3,4017.1,746.6,nan,
16,2561,158,-0.2827,0.0598,0.8838,0.0564,0.28,-0.4871,-1.0,8686.8,423.4,3733.9,477.2,nan,
17,2724,163,-0.2239,0.0,1.0,0.0,0.231,-0.3482,-1.0,8500.0,326.0,3986.3,569.5,nan,
18,2886,162,0.2831,0.6109,0.314,0.075,0.6812,-0.979,-1.0,10215.3,12156.1,3727.1,820.9,nan,
19,3044,158,-0.3233,0.0,1.0,0.0,-0.1007,-0.4205,-1.0,7236.5,312.2,4119.9,478.0,nan,
20,3208,164,0.4124,0.6076,0.3828,0.0096,0.8926,-0.9728,-1.0,11020.6,10118.6,4144.7,391.4,nan,
21,3363,155,0.8677,1.0,0.0,0.0,0.6642,-0.9838,-1.0,10150.7,15658.8,4028.5,571.7,nan,
22,3524,161,-0.5354,0.0791,0.5247,0.3962,0.7713,-0.9583,-1.0,10558.5,6335.7,2566.9,653.0,nan,
23,3679,155,0.3847,0.749,0.0655,0.1854,0.5428,-0.9838,-1.0,9688.1,14935.6,3564.7,552.0,nan,
24,3844,165,-0.1586,0.0,1.0,0.0,0.487,-0.2791,-1.0,9475.4,328.6,4376.1,708.2,nan,
25,3997,153,-0.4793,0.101,0.6967,0.2023,0.5052,-0.911,-1.0,9545.0,2680.6,3296.7,944.9,nan,
26,4156,159,-0.5163,0.0903,0.2511,0.6585,0.9985,-0.9777,-1.0,11424.2,12784.1,873.9,497.1,nan,
27,4313,157,-0.2602,0.0,1.0,0.0,0.0304,-0.3827,-1.0,7736.0,313.3,4048.4,311.6,nan,
28,4468,155,0.856,0.8928,0.047,0.0603,0.8267,-0.9817,-1.0,10769.8,14730.8,3952.5,296.2,nan,
29,4631,163,0.3632,0.5538,0.0949,0.3513,1.0,-0.9816,-1.0,11908.1,16184.7,2632.0,526.3,nan,
30,4792,161,0.214,0.0655,0.1652,0.7693,0.7115,-0.9828,-0.1892,10330.7,15058.0,475.7,442.2,nan,
31,4953,161,-0.4166,0.164,0.3471,0.4889,0.7998,-0.9751,-1.0,10667.4,10710.4,1834.5,461.2,nan,
32,5115,162,1.3992,1.0,0.0,0.0,1.0,-0.9674,-1.0,12001.4,9192.1,1845.4,519.0,1.154065,1.004248
