timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
161,1,161,8.142732,0.642835,0.709471,0.000969,9.9e-05,0.00254668,-0.509092,-1.0,-0.605125,-0.012007,0.224886,2297.8,58.1,79.5,358.1,100.0,1.0
321,2,160,-0.799893,0.635119,-0.281698,0.004779,0.0,0.00219627,-0.382099,-1.0,-0.424601,0.36043,0.23884,3696.3,67.9,69.0,635.9,100.0,1.0
482,3,161,-4.730158,0.2,-0.353822,0.020282,0.070707,0.00186273,-0.603137,-1.0,-1.0,-0.213821,0.194953,1626.9,51.7,65.6,946.6,100.0,1.0
643,4,161,-2.92956,0.24336,0.711916,0.0,0.036121,0.00227481,-0.54794,-1.0,-0.414606,-0.186045,0.253329,2355.6,72.4,72.5,613.3,100.0,1.0
800,5,157,2.29887,0.77465,-0.311888,0.0,0.0,0.00246157,-0.248854,-0.95226,0.120083,0.553208,0.229601,3991.9,64.3,69.0,244.8,100.0,1.0
959,6,159,-0.872473,0.605931,-0.425735,0.006394,0.0,0.00239989,-0.437223,-1.0,-0.347504,0.153317,0.242339,3410.9,73.9,57.5,440.5,100.0,1.0
1120,7,161,-2.272658,0.362507,0.666535,0.007431,0.032064,0.00286354,-0.700223,-1.0,-1.0,-0.514147,0.229895,1314.2,67.6,60.8,382.3,100.0,1.0
1273,8,153,4.840841,0.498038,0.778897,0.001257,0.0,0.0042406,-0.37531,-1.0,0.179772,0.165415,0.214557,2958.7,63.5,55.9,231.3,100.0,1.0
1435,9,162,-4.205098,0.012701,-0.480438,0.000709,0.0,0.00213535,-0.642196,-1.0,-1.0,-0.319228,0.232138,1698.2,62.4,76.2,500.8,100.0,1.0
1597,10,162,5.222794,1.0,-0.238546,0.002849,0.0,0.00275806,-0.080244,-0.765593,0.085565,0.874977,0.225283,4703.1,62.7,68.5,654.1,100.0,1.0
1761,11,164,-0.859695,1.0,-0.295419,0.002845,0.0,0.00264363,-0.493832,-1.0,-0.923052,0.13314,0.207344,2604.3,57.5,63.7,359.1,100.0,1.0
1925,12,164,-3.548162,0.2,0.658622,0.008043,0.023872,0.00247163,-0.653264,-1.0,-1.0,-0.356365,0.231774,1814.2,70.5,55.6,471.7,100.0,1.0
2080,13,155,-5.166426,0.259469,-0.31745,0.0,0.0,0.00148082,-0.587575,-1.0,-1.0,-0.159169,0.199122,1819.3,54.1,63.9,1103.0,100.0,1.0
2241,14,161,-0.848603,0.424979,0.6,0.025037,1.3e-05,0.00359837,-0.668686,-1.0,-0.941733,-0.451166,0.195815,1194.8,54.4,59.8,532.4,100.0,1.0
2403,15,162,-0.881624,0.2,-0.330355,0.003752,2e-06,0.00246391,-0.461436,-1.0,-0.378711,0.075791,0.231513,3020.8,70.2,56.0,746.6,100.0,1.0
2561,16,158,-0.345485,1.0,-0.393804,0.013721,0.0,0.00249209,-0.415823,-1.0,-0.630305,0.300227,0.214305,3168.9,60.9,62.0,477.2,100.0,1.0
2724,17,163,2.646374,0.2,-0.27073,0.0,0.0,0.00258941,-0.23124,-0.90674,0.093133,0.555544,0.222602,4165.3,66.9,55.2,569.5,100.0,1.0
2886,18,162,-2.694849,0.848704,-0.36531,0.005024,0.0,0.00195903,-0.505885,-1.0,-0.69682,0.018463,0.208709,2287.3,56.1,68.3,820.9,100.0,1.0
3044,19,158,-1.632343,0.373133,0.694087,0.000653,0.0,0.00257215,-0.521646,-1.0,-0.64727,-0.041997,0.221601,2124.7,55.4,83.0,478.0,100.0,1.0
3208,20,164,4.125045,1.0,-0.247178,0.0,0.0,0.00281375,-0.170814,-0.811136,-0.090161,0.699833,0.236467,4529.6,66.6,69.9,391.4,100.0,1.0
3363,21,155,2.540097,0.273376,-0.177299,0.000483,0.0,0.00200688,-0.131345,-0.883264,0.022453,0.867676,0.20294,4254.8,57.0,60.6,571.7,100.0,1.0
3524,22,161,1.216255,0.331607,-0.368948,0.0,0.0,0.00224773,-0.275542,-0.934454,-0.310634,0.578573,0.221344,4059.7,64.3,60.6,653.0,100.0,1.0
3679,23,155,-2.61246,0.38653,-0.385407,0.001236,0.0,0.00207046,-0.498061,-1.0,-0.293273,-0.051141,0.266956,3050.1,80.4,66.1,552.0,100.0,1.0
3844,24,165,0.658353,0.514312,-0.268047,0.005603,0.0,0.00216035,-0.309316,-0.961304,-0.147431,0.458073,0.237369,3957.4,67.9,67.7,708.2,100.0,1.0
3997,25,153,-3.625676,0.246421,-0.351244,0.005151,0.00901,0.00184108,-0.524932,-1.0,-0.848385,0.002147,0.20369,2296.0,57.3,60.5,944.9,100.0,1.0
