timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
161,1,161,7.483607,0.642835,0.709471,0.000969,9.9e-05,0.00216725,-0.505659,-1.0,-0.605125,-0.012007,0.454719,2297.8,58.1,79.5,358.1,100.0,1.0
321,2,160,-1.680324,0.635119,-0.281698,0.004779,0.0,0.00181923,-0.369689,-1.0,-0.424601,0.36043,0.516895,3696.3,67.9,69.0,635.9,100.0,1.0
482,3,161,-5.118639,0.2,-0.353822,0.020282,0.070707,0.00155245,-0.605139,-1.0,-1.0,-0.213821,0.401506,1626.9,51.7,65.6,946.6,100.0,1.0
643,4,161,-4.208401,0.24336,0.711916,0.0,0.036121,0.0019132,-0.566562,-1.0,-0.414606,-0.186045,0.549926,2355.6,72.4,72.5,613.3,100.0,1.0
800,5,157,1.843909,0.77465,-0.311888,0.0,0.0,0.00209007,-0.22589,-0.95226,0.120083,0.553208,0.491149,3991.9,64.3,69.0,244.8,100.0,1.0
959,6,159,-2.184989,0.605931,-0.425735,0.006394,0.0,0.0020104,-0.441501,-1.0,-0.347504,0.153317,0.552058,3410.9,73.9,57.5,440.5,100.0,1.0
1120,7,161,-2.997758,0.362507,0.666535,0.007431,0.032064,0.00234819,-0.731923,-1.0,-1.0,-0.514147,0.509858,1314.2,67.6,60.8,382.3,100.0,1.0
1273,8,153,3.16592,0.498038,0.778897,0.001257,0.0,0.0034265,-0.36969,-1.0,0.179772,0.165415,0.47781,2958.7,63.5,55.9,231.3,100.0,1.0
1435,9,162,-5.246303,0.012701,-0.480438,0.000709,0.0,0.0018277,-0.658184,-1.0,-1.0,-0.319228,0.482273,1698.2,62.4,76.2,500.8,100.0,1.0
1597,10,162,5.175098,1.0,-0.238546,0.002849,0.0,0.00230689,-0.049173,-0.765593,0.085565,0.874977,0.480068,4703.1,62.7,68.5,654.1,100.0,1.0
1761,11,164,-1.957222,1.0,-0.295419,0.002845,0.0,0.00220302,-0.48379,-1.0,-0.923052,0.13314,0.440418,2604.3,57.5,63.7,359.1,100.0,1.0
1925,12,164,-4.594914,0.2,0.658622,0.008043,0.023872,0.00203181,-0.680055,-1.0,-1.0,-0.356365,0.526635,1814.2,70.5,55.6,471.7,100.0,1.0
2080,13,155,-6.373693,0.259469,-0.31745,0.0,0.0,0.00123967,-0.589105,-1.0,-1.0,-0.159169,0.416978,1819.3,54.1,63.9,1103.0,100.0,1.0
2241,14,161,-2.581989,0.424979,0.6,0.025037,1.3e-05,0.00288906,-0.685447,-1.0,-0.941733,-0.451166,0.416827,1194.8,54.4,59.8,532.4,100.0,1.0
2403,15,162,-2.03471,0.2,-0.330355,0.003752,2e-06,0.00207181,-0.466344,-1.0,-0.378711,0.075791,0.525,3020.8,70.2,56.0,746.6,100.0,1.0
2561,16,158,-1.132278,1.0,-0.393804,0.013721,0.0,0.00208804,-0.400691,-1.0,-0.630305,0.300227,0.4637,3168.9,60.9,62.0,477.2,100.0,1.0
2724,17,163,2.207859,0.2,-0.27073,0.0,0.0,0.00218169,-0.213955,-0.90674,0.093133,0.555544,0.501748,4165.3,66.9,55.2,569.5,100.0,1.0
2886,18,162,-3.759194,0.848704,-0.36531,0.005024,0.0,0.0016315,-0.500026,-1.0,-0.69682,0.018463,0.434031,2287.3,56.1,68.3,820.9,100.0,1.0
3044,19,158,-2.72856,0.373133,0.694087,0.000653,0.0,0.0021771,-0.51701,-1.0,-0.64727,-0.041997,0.43792,2124.7,55.4,83.0,478.0,100.0,1.0
