timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
161,1,161,9.453341,0.642835,0.709471,0.000969,9.9e-05,0.00216725,-0.34994,-1.0,-0.605125,-0.012007,0.454719,2297.8,58.1,79.5,358.1,100.0,1.0
321,2,160,2.085048,0.635119,-0.281698,0.004779,0.0,0.00181923,-0.170239,-1.0,-0.424601,0.36043,0.516895,3696.3,67.9,69.0,635.9,100.0,1.0
482,3,161,-4.292959,0.2,-0.353822,0.020282,0.070707,0.00155245,-0.457287,-1.0,-1.0,-0.213821,0.401506,1626.9,51.7,65.6,946.6,100.0,1.0
643,4,161,-2.760496,0.24336,0.711916,0.0,0.036121,0.0019132,-0.451234,-1.0,-0.414606,-0.186045,0.549926,2355.6,72.4,72.5,613.3,100.0,1.0
800,5,157,6.210174,0.77465,-0.311888,0.0,0.0,0.00209007,-0.030631,-0.95226,0.120083,0.553208,0.491149,3991.9,64.3,69.0,244.8,100.0,1.0
959,6,159,0.872577,0.605931,-0.425735,0.006394,0.0,0.0020104,-0.278731,-1.0,-0.347504,0.153317,0.552058,3410.9,73.9,57.5,440.5,100.0,1.0
1120,7,161,-2.174682,0.362507,0.666535,0.007431,0.032064,0.00234819,-0.634538,-1.0,-1.0,-0.514147,0.509858,1314.2,67.6,60.8,382.3,100.0,1.0
1273,8,153,6.028727,0.498038,0.778897,0.001257,0.0,0.0034265,-0.227756,-1.0,0.179772,0.165415,0.47781,2958.7,63.5,55.9,231.3,100.0,1.0
1435,9,162,-4.018051,0.012701,-0.480438,0.000709,0.0,0.0018277,-0.530182,-1.0,-1.0,-0.319228,0.482273,1698.2,62.4,76.2,500.8,100.0,1.0
1597,10,162,9.429822,1.0,-0.238546,0.002849,0.0,0.00230689,0.168631,-0.765593,0.085565,0.874977,0.480068,4703.1,62.7,68.5,654.1,100.0,1.0
1761,11,164,1.244553,1.0,-0.295419,0.002845,0.0,0.00220302,-0.289687,-1.0,-0.923052,0.13314,0.440418,2604.3,57.5,63.7,359.1,100.0,1.0
1925,12,164,-3.911286,0.2,0.658622,0.008043,0.023872,0.00203181,-0.559841,-1.0,-1.0,-0.356365,0.526635,1814.2,70.5,55.6,471.7,100.0,1.0
2080,13,155,-4.245243,0.259469,-0.31745,0.0,0.0,0.00123967,-0.433829,-1.0,-1.0,-0.159169,0.416978,1819.3,54.1,63.9,1103.0,100.0,1.0
2241,14,161,-1.477395,0.424979,0.6,0.025037,1.3e-05,0.00288906,-0.576876,-1.0,-0.941733,-0.451166,0.416827,1194.8,54.4,59.8,532.4,100.0,1.0
2403,15,162,0.354161,0.2,-0.330355,0.003752,2e-06,0.00207181,-0.31229,-1.0,-0.378711,0.075791,0.525,3020.8,70.2,56.0,746.6,100.0,1.0
2561,16,158,2.200462,1.0,-0.393804,0.013721,0.0,0.00208804,-0.197327,-1.0,-0.630305,0.300227,0.4637,3168.9,60.9,62.0,477.2,100.0,1.0
2724,17,163,5.641442,0.2,-0.27073,0.0,0.0,0.00218169,-0.024356,-0.90674,0.093133,0.555544,0.501748,4165.3,66.9,55.2,569.5,100.0,1.0
2886,18,162,-1.24056,0.848704,-0.36531,0.005024,0.0,0.0016315,-0.334117,-1.0,-0.69682,0.018463,0.434031,2287.3,56.1,68.3,820.9,100.0,1.0
3044,19,158,-0.322425,0.373133,0.694087,0.000653,0.0,0.0021771,-0.362842,-1.0,-0.64727,-0.041997,0.43792,2124.7,55.4,83.0,478.0,100.0,1.0
3208,20,164,7.70163,1.0,-0.247178,0.0,0.0,0.0023727,0.056112,-0.811136,-0.090161,0.699833,0.508278,4529.6,66.6,69.9,391.4,100.0,1.0
3363,21,155,7.240687,0.273376,-0.177299,0.000483,0.0,0.00172142,0.149557,-0.883264,0.022453,0.867676,0.435004,4254.8,57.0,60.6,571.7,100.0,1.0
3524,22,161,4.739141,0.331607,-0.368948,0.0,0.0,0.00189623,-0.034742,-0.934454,-0.310634,0.578573,0.486425,4059.7,64.3,60.6,653.0,100.0,1.0
3679,23,155,-2.135317,0.38653,-0.385407,0.001236,0.0,0.00175171,-0.390775,-1.0,-0.293273,-0.051141,0.602166,3050.1,80.4,66.1,552.0,100.0,1.0
3844,24,165,3.418403,0.514312,-0.268047,0.005603,0.0,0.00177242,-0.0995,-0.961304,-0.147431,0.458073,0.515617,3957.4,67.9,67.7,708.2,100.0,1.0
3997,25,153,-2.183725,0.246421,-0.351244,0.005151,0.00901,0.00151107,-0.350654,-1.0,-0.848385,0.002147,0.437235,2296.0,57.3,60.5,944.9,100.0,1.0
4156,26,159,8.0606,0.841632,-0.261961,0.001696,0.0,0.00201884,0.123855,-0.806863,0.343504,0.778087,0.483963,4545.9,63.9,60.9,497.1,100.0,1.0
4313,27,157,1.516038,0.081179,-0.387249,0.003658,0.0,0.00207264,-0.241124,-1.0,-0.303351,0.215464,0.534755,3451.1,71.0,63.1,311.6,100.0,1.0
4468,28,155,2.281436,0.2,-0.39133,0.015743,0.076748,0.0024041,-0.248373,-1.0,-0.51797,0.186476,0.46285,2913.2,61.4,55.3,296.2,100.0,1.0
4631,29,163,3.037145,0.731176,-0.339734,0.004007,0.0,0.00210563,-0.176888,-0.973473,-0.326492,0.341096,0.545667,3911.1,72.9,58.9,526.3,100.0,1.0
4792,30,161,0.008311,1.0,-0.341056,0.011487,0.0,0.00219831,-0.35334,-1.0,-0.776336,0.037767,0.533625,2943.9,70.9,62.0,442.2,100.0,1.0
4953,31,161,3.283,0.400969,-0.379589,0.008017,0.000164,0.00166608,-0.088932,-0.995305,0.015365,0.466595,0.495749,3827.9,65.3,65.0,461.2,100.0,1.0
