timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
161,1,161,3.687898,0.642835,0.709471,0.000969,9.9e-05,0.00137692,-0.487107,-1.0,-0.605125,-0.012007,0.494265,2297.8,58.1,79.5,358.1,100.0,1.0
321,2,160,-3.22332,0.635119,-0.281698,0.004779,0.0,0.00129465,-0.339063,-1.0,-0.424601,0.36043,0.442092,3696.3,67.9,69.0,635.9,100.0,1.0
482,3,161,-5.820896,0.2,-0.353822,0.020282,0.070707,0.00105047,-0.557871,-1.0,-1.0,-0.213821,0.410642,1626.9,51.7,65.6,946.6,100.0,1.0
643,4,161,-5.395645,0.24336,0.711916,0.0,0.036121,0.00126415,-0.509964,-1.0,-0.414606,-0.186045,0.464829,2355.6,72.4,72.5,613.3,100.0,1.0
800,5,157,-0.168644,0.77465,-0.311888,0.0,0.0,0.00134664,-0.213752,-0.95226,0.120083,0.553208,0.439021,3991.9,64.3,69.0,244.8,100.0,1.0
959,6,159,-3.403483,0.605931,-0.425735,0.006394,0.0,0.00137379,-0.372198,-1.0,-0.347504,0.153317,0.381264,3410.9,73.9,57.5,440.5,100.0,1.0
1120,7,161,-3.541419,0.362507,0.666535,0.007431,0.032064,0.00177437,-0.64266,-1.0,-1.0,-0.514147,0.395474,1314.2,67.6,60.8,382.3,100.0,1.0
1273,8,153,2.880027,0.498038,0.778897,0.001257,0.0,0.00277001,-0.3099,-1.0,0.179772,0.165415,0.36429,2958.7,63.5,55.9,231.3,100.0,1.0
1435,9,162,-6.39291,0.012701,-0.480438,0.000709,0.0,0.00111418,-0.613334,-1.0,-1.0,-0.319228,0.478759,1698.2,62.4,76.2,500.8,100.0,1.0
1597,10,162,3.594303,1.0,-0.238546,0.002849,0.0,0.00158838,-0.072691,-0.765593,0.085565,0.874977,0.435264,4703.1,62.7,68.5,654.1,100.0,1.0
1761,11,164,-3.773622,1.0,-0.295419,0.002845,0.0,0.00155291,-0.443788,-1.0,-0.923052,0.13314,0.404072,2604.3,57.5,63.7,359.1,100.0,1.0
1925,12,164,-5.049612,0.2,0.658622,0.008043,0.023872,0.00151013,-0.585692,-1.0,-1.0,-0.356365,0.36795,1814.2,70.5,55.6,471.7,100.0,1.0
2080,13,155,-7.526161,0.259469,-0.31745,0.0,0.0,0.0008013,-0.53867,-1.0,-1.0,-0.159169,0.402628,1819.3,54.1,63.9,1103.0,100.0,1.0
2241,14,161,-2.565742,0.424979,0.6,0.025037,1.3e-05,0.00237253,-0.612319,-1.0,-0.941733,-0.451166,0.379416,1194.8,54.4,59.8,532.4,100.0,1.0
2403,15,162,-3.242924,0.2,-0.330355,0.003752,2e-06,0.00138032,-0.394661,-1.0,-0.378711,0.075791,0.370077,3020.8,70.2,56.0,746.6,100.0,1.0
2561,16,158,-2.635889,1.0,-0.393804,0.013721,0.0,0.00143056,-0.361882,-1.0,-0.630305,0.300227,0.396914,3168.9,60.9,62.0,477.2,100.0,1.0
2724,17,163,1.108833,0.2,-0.27073,0.0,0.0,0.00145876,-0.177848,-0.90674,0.093133,0.555544,0.363256,4165.3,66.9,55.2,569.5,100.0,1.0
2886,18,162,-5.538886,0.848704,-0.36531,0.005024,0.0,0.00112253,-0.464428,-1.0,-0.69682,0.018463,0.429384,2287.3,56.1,68.3,820.9,100.0,1.0
3044,19,158,-5.538573,0.373133,0.694087,0.000653,0.0,0.00141639,-0.506464,-1.0,-0.64727,-0.041997,0.511824,2124.7,55.4,83.0,478.0,100.0,1.0
3208,20,164,1.977058,1.0,-0.247178,0.0,0.0,0.00158334,-0.158016,-0.811136,-0.090161,0.699833,0.446188,4529.6,66.6,69.9,391.4,100.0,1.0
3363,21,155,1.333052,0.273376,-0.177299,0.000483,0.0,0.00104253,-0.093325,-0.883264,0.022453,0.867676,0.385878,4254.8,57.0,60.6,571.7,100.0,1.0
3524,22,161,-0.584793,0.331607,-0.368948,0.0,0.0,0.00125223,-0.228188,-0.934454,-0.310634,0.578573,0.391667,4059.7,64.3,60.6,653.0,100.0,1.0
3679,23,155,-5.590734,0.38653,-0.385407,0.001236,0.0,0.00112224,-0.446765,-1.0,-0.293273,-0.051141,0.43456,3050.1,80.4,66.1,552.0,100.0,1.0
3844,24,165,-1.148921,0.514312,-0.268047,0.005603,0.0,0.00130752,-0.269798,-0.961304,-0.147431,0.458073,0.434717,3957.4,67.9,67.7,708.2,100.0,1.0
3997,25,153,-6.242397,0.246421,-0.351244,0.005151,0.00901,0.00109522,-0.469217,-1.0,-0.848385,0.002147,0.385779,2296.0,57.3,60.5,944.9,100.0,1.0
4156,26,159,2.711686,0.82675,-0.270259,0.002393,0.0,0.00132568,-0.079303,-0.819101,0.326452,0.769315,0.394191,4499.2,63.6,61.1,497.1,100.0,1.0
4313,27,157,-3.132908,0.037191,-0.386347,0.003577,0.0,0.00135719,-0.361122,-1.0,-0.310574,0.209593,0.408408,3421.8,70.7,62.7,311.6,100.0,1.0
4468,28,155,-2.5783,0.2,-0.389879,0.016078,0.080557,0.00170173,-0.387043,-1.0,-0.576725,0.147597,0.353284,2815.5,61.3,54.2,296.2,100.0,1.0
4631,29,163,-1.624192,0.731181,-0.339201,0.004511,0.0,0.00146021,-0.314087,-0.978947,-0.335142,0.329959,0.38521,3890.2,73.1,58.3,526.3,100.0,1.0
4792,30,161,-4.896044,1.0,-0.339691,0.01181,0.0,0.00141331,-0.459299,-1.0,-0.785871,0.032708,0.401498,2935.1,71.1,61.4,442.2,100.0,1.0
4953,31,161,-1.7437,0.394641,-0.381524,0.008677,0.000168,0.00109732,-0.2573,-1.0,0.002996,0.461151,0.416984,3788.3,64.8,65.0,461.2,100.0,1.0
5115,32,162,-4.457768,0.2,0.723043,0.00243,0.046677,0.00161678,-0.509633,-1.0,-0.476108,-0.221552,0.415877,2298.1,73.8,63.6,519.0,100.0,1.0
5278,33,163,-3.875174,0.802073,0.658644,0.000358,0.0,0.00178139,-0.683575,-1.0,-1.0,-0.550658,0.481078,1199.9,66.8,76.1,445.0,100.0,1.0
5433,34,155,-3.87391,1.0,-0.291671,0.011436,0.0,0.00122985,-0.372828,-1.0,-0.43316,0.121125,0.330999,2779.3,62.0,50.2,546.8,100.0,1.0
5590,35,157,1.447314,0.2,-0.335895,0.0,0.009852,0.00110337,-0.104137,-0.965227,0.361722,0.703587,0.314509,3942.5,57.9,47.8,528.9,100.0,1.0
