day,action_N,action_W,grnwt,swfac,nstres
0,3.024723768234253,8.090044975280762,0.0,0.0,0.0
1,2.7053568363189697,7.5886454582214355,0.0,0.0,0.0
2,2.6851449012756348,7.544816970825195,0.0,0.0,0.0
3,2.659635305404663,7.492461681365967,0.0,0.0,0.0
4,2.631284475326538,7.435117244720459,0.0,0.0,0.0
5,2.6120340824127197,7.390700340270996,0.0,0.0,0.0
6,2.5979201793670654,7.353458404541016,0.0,0.0,0.0
7,2.58457350730896,7.316893100738525,0.0,0.0,0.0
8,2.5709214210510254,7.279423713684082,0.0,0.0,0.0
9,2.5569581985473633,7.241087913513184,0.0,0.0,0.0
10,2.5426790714263916,7.201930046081543,0.0,0.0,0.0
11,2.5280778408050537,7.1619954109191895,0.0,0.0,0.0
12,2.513148069381714,7.121335983276367,0.0,0.0,0.0
13,2.49788498878479,7.0800089836120605,0.0,0.0,0.0
14,2.482283353805542,7.038070201873779,0.0,0.0,0.0
15,2.4663400650024414,6.995584011077881,0.0,0.0,0.0
16,2.450051784515381,6.952613353729248,0.0,0.0,0.0
17,2.433417797088623,6.90922212600708,0.0,0.0,0.0
18,2.416438579559326,6.865475177764893,0.0,0.0,0.0
19,2.3991174697875977,6.821441173553467,0.0,0.0,0.0
20,2.381460428237915,6.7771806716918945,0.0,0.0,0.0
21,2.3634746074676514,6.732756614685059,0.0,0.0,0.0
22,2.3451709747314453,6.688228130340576,0.0,0.0,0.0
23,2.32656192779541,6.643653392791748,0.0,0.0,0.0
24,2.307663917541504,6.599084377288818,0.0,0.0,0.0
25,2.288494348526001,6.55457067489624,0.0,0.0,0.0
26,2.2690742015838623,6.510159015655518,0.0,0.0,0.0
27,2.2494258880615234,6.4658894538879395,0.0,0.0,0.0
28,2.2137258052825928,6.357848167419434,0.0,0.0,0.0
29,2.177999258041382,6.250036239624023,0.0,0.0,0.0
30,2.142300844192505,6.14262056350708,0.0,0.0,0.0
31,2.106691598892212,6.035740852355957,0.0,0.0,0.0
32,2.071233034133911,5.929516792297363,0.0,0.0,0.0
33,2.0359857082366943,5.824051856994629,0.0,0.0,0.0
34,2.0010104179382324,5.719439506530762,0.0,0.0,0.0
35,1.9663625955581665,5.61576509475708,0.0,0.0,0.0
36,1.9320943355560303,5.513110637664795,0.0,0.0,0.0
37,1.8982539176940918,5.411556243896484,0.0,0.0,0.0
38,1.864883303642273,5.311182022094727,0.0,0.0,0.0
