day,action_N,action_W,grnwt,swfac,nstres
0,2.878286600112915,2.8448634147644043,0.0,0.0,0.0
1,2.819655179977417,2.4305472373962402,0.0,0.0,0.0
2,2.8201513290405273,2.4333982467651367,0.0,0.0,0.0
3,2.820429801940918,2.4361321926116943,0.0,0.0,0.0
4,2.820314645767212,2.4373321533203125,0.0,0.0,0.0
5,2.819991111755371,2.438523769378662,0.0,0.0,0.0
6,2.819410562515259,2.4393372535705566,0.0,0.0,0.0
7,2.818662405014038,2.440523147583008,0.0,0.0,0.0
8,2.817646026611328,2.441277503967285,0.0,0.0,0.0
9,2.8163111209869385,2.441237688064575,0.0,0.0,0.0
10,2.81494402885437,2.4426729679107666,0.0,0.0,0.0
11,2.8134021759033203,2.4444313049316406,0.0,0.0,0.0
12,2.8120906352996826,2.449669599533081,0.0,0.0,0.0
13,2.810025215148926,2.4506869316101074,0.0,0.0,0.0
14,2.8082425594329834,2.4556331634521484,0.0,0.0,0.0
15,2.8058066368103027,2.4570987224578857,0.0,0.0,0.0
16,2.8036022186279297,2.46212100982666,0.0,0.0,0.0
17,2.8011300563812256,2.466752767562866,0.0,0.0,0.0
18,2.7979817390441895,2.4674956798553467,0.0,0.0,0.0
19,2.795112371444702,2.472309112548828,0.0,0.0,0.0
20,2.7916557788848877,2.473864793777466,0.0,0.0,0.0
21,2.788358688354492,2.4785354137420654,0.0,0.0,0.0
22,2.784740686416626,2.482161045074463,0.0,0.0,0.0
23,2.7805097103118896,2.481942653656006,0.0,0.0,0.0
24,2.77618145942688,2.4825098514556885,0.0,0.0,0.0
25,2.771682024002075,2.4831225872039795,0.0,0.0,0.0
26,2.7669620513916016,2.4832963943481445,0.0,0.0,0.0
27,2.756462812423706,2.4468131065368652,0.0,0.0,0.0
28,2.7483813762664795,2.4380128383636475,0.0,0.0,0.0
29,2.7421224117279053,2.4404845237731934,0.0,0.0,0.0
30,2.735468626022339,2.443081855773926,0.0,0.0,0.0
31,2.7284555435180664,2.4457976818084717,0.0,0.0,0.0
32,2.721118450164795,2.448627471923828,0.0,0.0,0.0
33,2.7134928703308105,2.451568603515625,0.0,0.0,0.0
34,2.705615758895874,2.4546189308166504,0.0,0.0,0.0
35,2.697521924972534,2.4577784538269043,0.0,0.0,0.0
36,2.6892476081848145,2.461045503616333,0.0,0.0,0.0
37,2.680826425552368,2.464421033859253,0.0,0.0,0.0
38,2.672290563583374,2.467904806137085,0.0,0.0,0.0
39,2.6636719703674316,2.47149658203125,0.0,0.0,0.0
40,2.654999256134033,2.4751954078674316,0.0,0.0,0.0
41,2.6463000774383545,2.47900128364563,0.0,0.0,0.0
42,2.6376001834869385,2.482912302017212,0.0,0.0,0.0
43,2.6289243698120117,2.4869260787963867,0.0,0.0,0.0
44,2.6202938556671143,2.4910407066345215,0.0,0.0,0.0
45,2.611741304397583,2.4955573081970215,0.0,0.0,0.012191057205200195
46,2.567466974258423,2.555147886276245,0.0,0.0,0.018530309200286865
47,2.55900502204895,2.564985513687134,0.0,0.0,0.01609724760055542
48,2.505592107772827,2.613687753677368,0.0,0.0,0.011619925498962402
49,2.493788003921509,2.6168830394744873,0.0,0.0,0.007061362266540527
50,2.4407589435577393,2.662968397140503,0.0,0.0,0.003910183906555176
51,2.430889368057251,2.6662118434906006,0.0,0.0,0.0
52,2.4210877418518066,2.669041395187378,0.0,0.0,0.0
53,2.371307134628296,2.719939708709717,0.0,0.0,0.0
54,2.3609695434570312,2.7233448028564453,0.0,0.0,0.0
55,2.351659059524536,2.7268128395080566,0.0,0.0,0.0
56,2.3153018951416016,2.764193296432495,0.0,0.0,0.0
57,2.306701898574829,2.767228364944458,0.0,0.0,0.0
58,2.2981772422790527,2.771209239959717,0.0,0.0,0.0
59,2.2876298427581787,2.77557635307312,0.0,0.0,0.0
60,2.2593679428100586,2.827575922012329,0.0,0.0,0.0
61,2.249969720840454,2.83255672454834,0.0,0.0,0.0
62,2.2417352199554443,2.8373115062713623,0.0,0.0,0.0
63,2.2252657413482666,2.8922781944274902,0.0,0.0,0.0
64,2.219550848007202,2.8984272480010986,0.0,0.0,0.0
65,2.2149596214294434,2.9035799503326416,0.0,0.0,0.0
66,2.2083723545074463,2.915058135986328,0.0,0.0,0.0
67,2.19905161857605,2.9773638248443604,0.0,0.0,0.0
68,2.189301013946533,2.992995262145996,0.0,0.0,0.0
69,2.1760828495025635,3.0092403888702393,0.0,0.0,0.002214789390563965
70,2.1613101959228516,3.0311152935028076,0.0,0.0,0.0
71,2.148268222808838,3.1076772212982178,0.0,0.0,0.0
72,2.1276121139526367,3.141080379486084,0.0,0.0,0.0
73,2.113689422607422,3.2293593883514404,0.0,0.0,0.0
74,2.09472918510437,3.2681291103363037,0.0,0.0,0.0
75,2.0869932174682617,3.3332388401031494,0.0,0.0,0.0
76,2.0755395889282227,3.3425137996673584,0.0,0.0,0.0
77,2.0745677947998047,3.2952029705047607,0.0,0.0,0.0
78,2.0711047649383545,3.3396971225738525,0.0,0.0,0.0
79,2.0586886405944824,3.366685152053833,0.0,0.0,0.0
80,2.048116445541382,3.3978922367095947,0.0,0.0,0.0
81,2.040825366973877,3.426722288131714,0.0,0.0,0.0
82,2.040714979171753,3.5023272037506104,0.0,0.0,0.0
83,2.0397260189056396,3.530188798904419,0.0,0.0,0.0
84,2.0419211387634277,3.5580554008483887,0.0,0.0,0.0
85,2.0536463260650635,3.6306729316711426,0.0,0.0,0.0
86,2.0606577396392822,3.6538681983947754,0.0,0.0,0.0
87,2.0750057697296143,3.6804683208465576,0.0,0.0,0.0
88,2.0936315059661865,3.751241445541382,0.0,0.0,0.0
89,2.089107036590576,3.409360885620117,0.0,0.0,0.0
90,2.0954246520996094,3.353181838989258,0.0,0.0,0.0
91,2.100189208984375,3.325756072998047,0.0,0.0,0.0
92,2.1095175743103027,3.3478775024414062,0.0,0.0,0.0
93,2.1151180267333984,3.3368377685546875,0.0,0.0,0.0
94,2.1202478408813477,3.366117000579834,0.0,0.0,0.0
95,2.1249821186065674,3.3763697147369385,0.0,0.0,0.0
96,2.1297311782836914,3.3688125610351562,0.0,0.0,0.012344777584075928
97,2.129309892654419,3.3758914470672607,0.0,0.0,0.029226839542388916
98,2.132927417755127,3.3706111907958984,0.0,0.0,0.040925562381744385
99,2.138537645339966,3.361762762069702,0.0,0.0,0.05170464515686035
100,2.137227773666382,3.3929696083068848,0.0,0.0,0.06767714023590088
101,2.1430552005767822,3.411940097808838,0.0,0.0,0.08061015605926514
102,2.1420536041259766,3.478925943374634,0.0,0.0,0.08974528312683105
103,2.149050712585449,3.5114142894744873,0.0,0.0,0.09565258026123047
104,2.14703369140625,3.5641489028930664,0.0,0.0,0.10257846117019653
105,2.149592876434326,3.5811071395874023,0.0,0.0,0.10667800903320312
106,2.15240740776062,3.598621368408203,0.0,0.0,0.10495579242706299
107,2.145864486694336,3.6411960124969482,0.0,0.0,0.1042400598526001
108,2.1465203762054443,3.648974895477295,0.0,0.0,0.09964954853057861
109,2.1482019424438477,3.6529364585876465,0.0,0.0,0.0951012372970581
110,2.1499791145324707,3.657496452331543,0.0,0.0,0.09182703495025635
111,2.1524717807769775,3.6584033966064453,0.0,0.0,0.08610737323760986
