model,preference,episode,grnwt,topwt,harvest_index
PC-PPO,Yield,1,10492.572021484375,22654.7314453125,0.4631514633847226
PC-PPO,Yield,2,11931.956787109375,23445.21484375,0.5089293003552997
PC-PPO,Yield,3,9857.111206054688,21684.453125,0.4545704311394612
PC-PPO,Yield,4,10257.950439453125,21688.57421875,0.4729656424618737
PC-PPO,Yield,5,12015.975341796875,22583.251953125,0.532074626220257
PC-PPO,Water,1,10331.68212890625,23020.3125,0.4488072057625738
PC-PPO,Water,2,10437.1826171875,22441.806640625,0.4650776465694041
PC-PPO,Water,3,7159.169921875,18000.166015625,0.3977279940451938
PC-PPO,Water,4,10363.804931640625,22709.42626953125,0.45636577554341473
PC-PPO,Water,5,12500.931396484375,23954.4677734375,0.5218622060284862
PC-PPO,Fertilizer,1,8225.853271484375,17957.2705078125,0.458079264769422
PC-PPO,Fertilizer,2,8732.8271484375,17885.732421875,0.488256613844725
PC-PPO,Fertilizer,3,6550.062255859375,14967.169189453125,0.4376286639744134
PC-PPO,Fertilizer,4,8415.901489257812,17346.2646484375,0.4851708226425504
PC-PPO,Fertilizer,5,10273.04931640625,17946.588134765625,0.5724235291556944
PC-PPO,Balanced,1,9814.217529296875,21023.9208984375,0.4668119508586178
PC-PPO,Balanced,2,11074.228515625,21591.41357421875,0.512899652334398
PC-PPO,Balanced,3,8975.725708007812,19409.241943359375,0.462445969512928
PC-PPO,Balanced,4,9459.978637695312,19766.640625,0.4785830236489825
PC-PPO,Balanced,5,11237.50732421875,20682.5830078125,0.5433319097510194
CAPQL v2,Yield,1,10568.341255187988,22707.161903381348,0.46541885331844335
CAPQL v2,Yield,2,12378.124237060547,24519.665241241455,0.5048243569100959
CAPQL v2,Yield,3,7714.7314453125,18310.58382987976,0.42132634966687244
CAPQL v2,Yield,4,10554.551124572754,22850.253582000732,0.4619008312838432
CAPQL v2,Yield,5,12391.762733459473,23452.022075653076,0.5283878163462966
CAPQL v2,N Efficiency,1,5863.3668422698975,14890.244007110596,0.3937723813975071
CAPQL v2,N Efficiency,2,7006.869077682495,15469.193458557129,0.4529563287481216
CAPQL v2,N Efficiency,3,6084.57612991333,14460.09635925293,0.4207839269355799
CAPQL v2,N Efficiency,4,5870.639204978943,14586.68828010559,0.4024655283122597
CAPQL v2,N Efficiency,5,7877.94041633606,15214.931964874268,0.5177769072200489
CAPQL v2,Water,1,10429.469347000122,22686.67459487915,0.45971785346426525
CAPQL v2,Water,2,11519.973278045654,23142.15660095215,0.4977916914438166
CAPQL v2,Water,3,8560.123443603516,19613.035917282104,0.43645070960486687
CAPQL v2,Water,4,9646.971702575684,21699.073314666748,0.4445798934673926
CAPQL v2,Water,5,12198.16650390625,23539.507389068604,0.5181997355463308
CAPQL v2,Balanced,1,8957.241296768188,19300.235509872437,0.46410010345140035
CAPQL v2,Balanced,2,11400.059938430786,21666.889190673828,0.5261512087917892
CAPQL v2,Balanced,3,8999.957885742188,19358.896017074585,0.46490036817203867
CAPQL v2,Balanced,4,9524.218139648438,19632.272720336914,0.48513069654856494
CAPQL v2,Balanced,5,11908.90645980835,22012.295722961426,0.5410115605246004
