episode,cum_reward,yield_kg_ha,total_N_kg_ha
1,1.80699,2336.5,73.2
2,4.588561,3323.0,60.4
3,6.169403,2402.4,72.8
4,11.280298,2442.7,70.1
5,23.750306,3861.1,57.9
6,3.14412,4186.2,79.6
7,-4.652598,1127.9,68.4
8,-3.501958,2990.7,76.0
9,11.796343,1870.7,71.3
10,17.636148,5183.1,71.0
11,-1.69537,2951.0,71.9
12,4.330752,1771.0,63.5
13,-2.041741,739.3,7.3
14,2.840708,1091.0,4.2
15,12.468495,1713.2,18.0
16,15.020173,3007.7,35.1
17,5.784293,1123.8,6.4
18,3.574615,1043.6,15.8
19,0.919803,1693.0,2.4
20,1.304342,1327.0,4.9
21,11.472665,2575.7,30.6
22,12.424317,1501.2,22.0
23,14.204734,2917.7,35.6
24,6.477282,1156.4,10.9
25,0.105223,1014.9,0.5
26,0.140462,1065.8,0.3
27,4.462037,1857.5,7.2
28,10.382534,2162.6,30.1
29,3.179526,1821.6,1.8
30,6.645098,1114.8,15.0
31,7.74796,1118.3,33.1
32,9.252484,2105.1,20.2
33,6.89331,1863.1,7.9
34,-5.33864,450.6,0.0
35,10.710238,1867.2,40.5
36,-0.141331,867.3,1.2
37,11.111616,1831.8,16.2
38,14.231535,2835.2,20.3
39,10.723452,2047.4,15.7
40,28.226062,4759.6,39.3
41,0.243653,1518.6,0.6
42,12.058725,2409.8,12.4
43,6.045387,1093.1,11.4
44,1.946783,918.6,3.2
45,12.375627,2584.7,24.1
46,-1.664137,1387.9,0.0
47,3.848804,1598.1,2.7
48,16.844927,3073.2,45.5
49,6.659884,1371.5,11.4
50,7.004596,1254.9,22.4
51,11.569951,2260.0,15.9
52,15.152133,2597.2,38.8
53,8.253652,1620.9,6.7
54,6.753071,711.0,3.8
55,20.140191,3334.2,64.3
56,24.613564,4083.7,72.0
57,7.609982,1617.3,5.1
58,3.972312,1073.0,1.0
59,4.171791,971.3,0.2
60,3.699934,1260.0,0.6
61,6.678544,1690.6,4.6
62,7.989787,2105.3,5.6
63,12.457627,2474.5,30.2
64,11.867096,3131.8,24.4
65,5.985628,1410.9,12.0
66,39.012405,5430.5,112.7
67,4.94559,1223.3,0.7
68,16.613565,2923.3,63.1
69,7.187196,930.2,4.2
70,4.156203,807.7,10.9
71,5.687423,1224.5,21.4
72,-1.778795,643.5,0.0
73,8.99298,2314.2,10.3
74,18.122095,3693.3,88.6
75,7.088976,2435.5,18.1
76,36.828223,6532.9,84.6
77,2.080476,606.8,28.8
78,54.699067,8030.1,200.1
79,5.210015,1765.0,5.4
80,58.411775,9536.6,220.1
81,22.804462,4182.9,103.2
82,8.796755,1862.6,32.1
83,5.481822,1043.1,6.9
84,8.079122,1175.9,7.7
85,2.394513,631.0,4.7
86,2.018988,1920.8,4.2
87,14.647444,3770.1,31.9
88,16.044195,3559.2,49.7
89,7.591881,2202.1,13.2
90,18.394263,5004.0,47.4
91,8.136948,1723.4,17.6
92,-1.322678,1399.3,1.2
93,5.853327,2063.1,16.1
94,10.598594,1810.7,30.4
95,9.970861,2042.2,15.2
96,3.270869,697.6,1.6
97,-0.723029,905.0,2.8
98,8.968839,5532.4,48.6
99,5.843533,1082.0,25.1
100,-0.221445,1733.4,5.1
101,2.531996,1235.5,5.5
102,-3.434633,1137.8,0.2
103,6.905571,2253.9,12.8
104,29.075958,4385.2,73.0
105,2.706132,2706.9,12.3
106,10.039706,2366.0,24.5
107,5.17334,1493.7,14.9
108,9.138964,1174.0,33.1
109,3.924764,830.1,22.6
110,3.417668,820.9,23.4
111,4.181747,1873.4,9.3
112,54.335244,9155.2,149.3
113,15.983202,3470.6,56.9
114,10.202124,2322.2,69.5
115,8.19841,2160.6,35.5
