episode,ppo_update,policy_loss,value_loss,entropy
1,1,0.144100,1.297900,2.856500
2,1,0.144100,1.297900,2.856500
3,1,0.144100,1.297900,2.856500
4,1,0.144100,1.297900,2.856500
5,1,0.144100,1.297900,2.856500
6,1,0.144100,1.297900,2.856500
7,1,0.144100,1.297900,2.856500
8,1,0.144100,1.297900,2.856500
9,1,0.144100,1.297900,2.856500
10,1,0.144100,1.297900,2.856500
11,1,0.144100,1.297900,2.856500
12,1,0.144100,1.297900,2.856500
13,2,0.133856,1.230267,2.845189
14,2,0.133856,1.230267,2.845189
15,2,0.133856,1.230267,2.845189
16,2,0.133856,1.230267,2.845189
17,2,0.133856,1.230267,2.845189
18,2,0.133856,1.230267,2.845189
19,2,0.133856,1.230267,2.845189
20,2,0.133856,1.230267,2.845189
21,2,0.133856,1.230267,2.845189
22,2,0.133856,1.230267,2.845189
23,2,0.133856,1.230267,2.845189
24,2,0.133856,1.230267,2.845189
25,3,0.123611,1.162633,2.833878
26,3,0.123611,1.162633,2.833878
27,3,0.123611,1.162633,2.833878
28,3,0.123611,1.162633,2.833878
29,3,0.123611,1.162633,2.833878
30,3,0.123611,1.162633,2.833878
31,3,0.123611,1.162633,2.833878
32,3,0.123611,1.162633,2.833878
33,3,0.123611,1.162633,2.833878
34,3,0.123611,1.162633,2.833878
35,3,0.123611,1.162633,2.833878
36,3,0.123611,1.162633,2.833878
37,4,0.113367,1.095000,2.822567
38,4,0.113367,1.095000,2.822567
39,4,0.113367,1.095000,2.822567
40,4,0.113367,1.095000,2.822567
41,4,0.113367,1.095000,2.822567
42,4,0.113367,1.095000,2.822567
43,4,0.113367,1.095000,2.822567
44,4,0.113367,1.095000,2.822567
45,4,0.113367,1.095000,2.822567
46,4,0.113367,1.095000,2.822567
47,4,0.113367,1.095000,2.822567
48,4,0.113367,1.095000,2.822567
49,5,0.103122,1.027367,2.811256
50,5,0.103122,1.027367,2.811256
51,5,0.103122,1.027367,2.811256
52,5,0.103122,1.027367,2.811256
53,5,0.103122,1.027367,2.811256
54,5,0.103122,1.027367,2.811256
55,5,0.103122,1.027367,2.811256
56,5,0.103122,1.027367,2.811256
57,5,0.103122,1.027367,2.811256
58,5,0.103122,1.027367,2.811256
59,5,0.103122,1.027367,2.811256
60,5,0.103122,1.027367,2.811256
61,6,0.092878,0.959733,2.799944
62,6,0.092878,0.959733,2.799944
63,6,0.092878,0.959733,2.799944
64,6,0.092878,0.959733,2.799944
65,6,0.092878,0.959733,2.799944
66,6,0.092878,0.959733,2.799944
67,6,0.092878,0.959733,2.799944
68,6,0.092878,0.959733,2.799944
69,6,0.092878,0.959733,2.799944
70,6,0.092878,0.959733,2.799944
71,6,0.092878,0.959733,2.799944
