episode,timestep,ep_length,cum_reward,w_yield,w_water,w_fert,R_yield,R_water,R_fert,yield_kg_ha,total_N_kg_ha,total_W_mm
1,2048,161,1.80699,0.3955,0.593,0.0115,1.423996,-0.359993,-1.413802,2336.5,73.2,52.0
2,2048,160,4.588561,0.001,0.2522,0.7468,2.532214,-0.521828,-1.039,3323.0,60.4,79.1
3,2048,161,6.169403,0.1587,0.1779,0.6634,1.458996,-0.508042,-1.418994,2402.4,72.8,74.6
4,2048,161,11.280298,0.6482,0.3517,0.0001,1.472464,-0.438982,-1.32074,2442.7,70.1,67.8
5,2048,157,23.750306,0.6652,0.0213,0.3135,2.66727,-0.464634,-0.972913,3861.1,57.9,72.9
6,2048,159,3.14412,0.195,0.7236,0.0813,2.747639,-0.434686,-1.527298,4186.2,79.6,66.8
7,2048,161,-4.652598,0.1672,0.8126,0.0202,0.484086,-0.443604,-1.47781,1127.9,68.4,67.1
8,2048,153,-3.501958,0.0698,0.531,0.3992,1.708446,-0.381019,-1.440116,2990.7,76.0,50.8
9,2048,162,11.796343,0.6685,0.1591,0.1724,1.257408,-0.416089,-1.416173,1870.7,71.3,63.2
10,2048,162,17.636148,0.4748,0.4423,0.0829,4.403159,-0.497967,-1.348044,5183.1,71.0,72.2
11,2048,164,-1.69537,0.1069,0.6202,0.2729,1.652955,-0.484442,-1.293368,2951.0,71.9,76.9
12,2048,164,4.330752,0.2726,0.3345,0.393,1.227403,-0.405114,-1.22096,1771.0,63.5,61.0
13,4096,161,-2.041741,0.3105,0.5241,0.1654,0.513611,-0.118787,0.229239,739.3,7.3,3.8
14,4096,162,2.840708,0.3023,0.5271,0.1706,0.623568,-0.142901,0.357558,1091.0,4.2,8.6
15,4096,158,12.468495,0.2985,0.0424,0.6591,1.31636,-0.205574,-0.050723,1713.2,18.0,21.1
16,4096,163,15.020173,0.3802,0.0921,0.5276,2.422772,-0.219469,-0.421712,3007.7,35.1,22.4
17,4096,162,5.784293,0.1573,0.4084,0.4343,0.633749,-0.114768,0.294497,1123.8,6.4,3.0
18,4096,158,3.574615,0.3416,0.4186,0.2398,0.609313,-0.129526,0.053217,1043.6,15.8,5.9
19,4096,164,0.919803,0.0475,0.7626,0.1899,1.315142,-0.112487,0.410501,1693.0,2.4,2.5
20,4096,155,1.304342,0.0961,0.6529,0.251,0.709312,-0.106925,0.33732,1327.0,4.9,1.4
