====================================================================
12_capql_train_robust.py  —  CAPQL-Robust  (GRU + fault training)
====================================================================
  Obs dim  : 19  (crop + mask + w)
  Actor    : GRU(19→256) + Linear(256→2)
  Critic   : MLP  (21→256→256→1)
  Steps    : 1,000,000
  Seq len  : 16  (burn-in 4,  grad steps/ep 12)
  Hindsight: w resampled from Dirichlet at every sample call
  Aug λ    : 0.5
  Fault mix: 60% clean | 10% dropout | 10% packet | 10% stuck | 5% N-act | 5% W-act
====================================================================

      ep     steps    R_yld    R_ane    R_wef    yield                   w       ETA
  ──────────────────────────────────────────────────────────────────────────────
  Collecting first episodes...

      10     1,579   +0.741   -0.986   -1.000    10443  [0.65,0.23,0.12]  ETA 91.6m
      20     3,159   +0.536   -0.987   -1.000     9661  [0.34,0.23,0.42]  ETA 112.5m
      30     4,763   +0.658   -0.990   -1.000    10126  [0.29,0.08,0.63]  ETA 123.2m
      40     6,370   +0.533   -0.967   -1.000     9649  [0.40,0.51,0.09]  ETA 128.9m
      50     7,964   +0.960   -0.989   -1.000    11279  [0.91,0.09,0.00]  ETA 132.3m
      60     9,583   +0.888   -0.985   -1.000    11002  [0.42,0.22,0.36]  ETA 134.4m
      70    11,194   +0.926   -0.989   -0.207    11148  [0.06,0.13,0.81]  ETA 135.7m
      80    12,794   +1.000   -0.988   -1.000    11456  [0.22,0.13,0.66]  ETA 136.7m
      90    14,381   +0.839   -0.982   -1.000    10818  [0.11,0.31,0.59]  ETA 137.3m
     100    15,970   +0.533   -0.978   -1.000     9651  [0.11,0.42,0.47]  ETA 138.3m
     110    17,581   +0.900   -0.986   -1.000    11051  [0.29,0.21,0.51]  ETA 140.6m
     120    19,192   +0.155   -0.994   -0.222     8209  [0.00,0.00,1.00]  ETA 140.6m
     130    20,779   +1.000   -0.963   -1.000    11462  [0.46,0.50,0.05]  ETA 140.8m
     140    22,414   +0.944   -0.877   -1.000    11216  [0.07,0.74,0.20]  ETA 140.6m
     150    23,997   +0.945   -0.990   -1.000    11219  [0.50,0.07,0.42]  ETA 140.6m
     160    25,598   +1.000   -0.987   -1.000    11626  [0.37,0.14,0.49]  ETA 140.5m
     170    27,199   +1.000   -0.987   -0.215    11531  [0.11,0.07,0.82]  ETA 140.5m
     180    28,782   +0.683   -0.981   -1.000    10224  [0.09,0.35,0.56]  ETA 140.4m
     190    30,388   +0.850   -0.991   -0.192    10859  [0.00,0.00,1.00]  ETA 141.0m
     200    31,997   +1.000   -0.943   -1.000    11458  [0.01,0.60,0.39]  ETA 140.8m
     210    33,616   +0.915   -0.983   -1.000    11105  [0.38,0.29,0.32]  ETA 140.6m
     220    35,219   +1.000   -0.860   -1.000    12110  [0.03,0.74,0.23]  ETA 140.5m
     230    36,809   +1.000   -0.968   -1.000    11572  [0.35,0.47,0.18]  ETA 140.3m
     240    38,394   +0.592   -0.985   -0.233     9876  [0.21,0.30,0.49]  ETA 140.1m
     250    39,978   +0.982   -0.991   -0.215    11361  [0.00,0.00,1.00]  ETA 139.9m
     260    41,541   +1.000   -0.956   -1.000    12638  [0.21,0.53,0.25]  ETA 139.8m
     270    43,142   +0.669   -0.955   -1.000    10169  [0.11,0.58,0.31]  ETA 140.6m
     280    44,761   +0.726   -0.989   -1.000    10388  [0.78,0.13,0.09]  ETA 140.3m
     290    46,365   +1.000   -0.984   -1.000    12292  [0.50,0.23,0.27]  ETA 140.0m
     300    47,939   +0.695   -0.989   -1.000    10267  [0.45,0.15,0.40]  ETA 139.9m
     310    49,542   +0.888   -0.981   -1.000    11004  [0.02,0.33,0.66]  ETA 140.0m
     320    51,138   +1.000   -0.990   -0.344    11477  [0.21,0.05,0.74]  ETA 139.7m
     330    52,741   +0.807   -0.989   -0.200    10693  [0.12,0.13,0.76]  ETA 139.6m
     340    54,343   +1.000   -0.877   -1.000    11565  [0.08,0.73,0.19]  ETA 139.4m
     350    55,936   +0.999   -0.975   -1.000    11427  [0.34,0.40,0.27]  ETA 139.2m
     360    57,412   +0.770   -0.991   -1.000    10554  [0.28,0.04,0.68]  ETA 139.3m
     370    59,000   -1.000   -1.000   -0.260     3212  [0.25,0.47,0.28]  ETA 139.4m
     380    60,605   +0.824   -0.989   +0.204    10758  [0.15,0.09,0.75]  ETA 139.2m
     390    62,200   -1.000   -1.000   +0.908     2036  [0.16,0.73,0.10]  ETA 139.1m
     400    63,792   +0.846   -0.992   -1.000    10843  [1.00,0.00,0.00]  ETA 138.9m
     410    65,385   -1.000   -1.000   +0.825     2889  [0.15,0.63,0.22]  ETA 138.8m
     420    66,977   -1.000   -1.000   +0.922     3029  [0.03,0.17,0.80]  ETA 138.6m
     430    68,573   +0.630   -0.992   -0.140    10021  [0.31,0.00,0.69]  ETA 138.4m
     440    70,173   -0.599   -0.994   +0.487     5339  [0.01,0.16,0.84]  ETA 138.2m
     450    71,759   +0.698   -0.992   +0.253    10278  [0.00,0.00,1.00]  ETA 138.0m
     460    73,343   -1.000   -1.000   +0.885     1836  [0.51,0.48,0.00]  ETA 137.8m
     470    74,933   -0.883   -1.000   +0.888     4257  [0.37,0.51,0.12]  ETA 138.0m
     480    76,517   -1.000   -1.000   +0.413     2935  [0.02,0.38,0.61]  ETA 138.1m
     490    78,105   -0.917   -1.000   +0.939     4126  [0.00,1.00,0.00]  ETA 137.9m
     500    79,624   +0.416   -0.988   +0.464     9207  [0.00,0.00,1.00]  ETA 137.6m
     510    81,238   +0.978   -0.991   -1.000    11346  [1.00,0.00,0.00]  ETA 137.3m
     520    82,844   -1.000   -1.000   +0.204     2619  [0.70,0.23,0.07]  ETA 137.2m
     530    84,471   +1.000   -0.989   -0.579    11812  [0.65,0.11,0.24]  ETA 137.1m
     540    86,081   +0.212   -0.993   +0.190     8427  [0.00,0.00,1.00]  ETA 136.8m
     550    87,679   +1.000   -0.991   -1.000    12198  [1.00,0.00,0.00]  ETA 136.5m
     560    89,292   +0.794   -0.992   -0.723    10644  [0.46,0.00,0.54]  ETA 136.2m
     570    90,878   -0.659   -0.803   +0.920     5111  [0.04,0.86,0.10]  ETA 136.1m
     580    92,485   +0.420   -0.993   -0.670     9222  [0.73,0.01,0.26]  ETA 135.9m
     590    94,091   -1.000   -1.000   +0.913     1692  [0.23,0.43,0.34]  ETA 135.7m
     600    95,695   +0.756   -0.990   -0.714    10501  [0.75,0.10,0.15]  ETA 135.5m
     610    97,317   +0.981   -0.991   -0.932    11358  [0.82,0.02,0.16]  ETA 135.2m
     620    98,912   +0.830   -0.991   -1.000    10784  [0.74,0.02,0.24]  ETA 135.0m
     630   100,507   -1.000   -1.000   +0.909     2077  [0.81,0.02,0.17]  ETA 134.8m
     640   102,013   +1.000   -0.985   -0.196    12126  [0.79,0.20,0.01]  ETA 134.7m
     650   103,587   +1.000   -0.984   -0.420    13420  [0.63,0.18,0.20]  ETA 134.4m
     660   105,190   -0.473   -0.991   +0.926     5818  [0.39,0.28,0.32]  ETA 134.2m
     670   106,796   -0.707   -1.000   +0.940     4927  [0.05,0.45,0.50]  ETA 134.0m
     680   108,402   -1.000   -1.000   +0.935     1300  [0.09,0.81,0.10]  ETA 133.8m
     690   110,021   +0.619   -0.211   +0.934     9977  [0.00,1.00,0.00]  ETA 133.6m
     700   111,613   -0.395   -0.995   +0.776     6116  [0.00,0.00,1.00]  ETA 133.5m
     710   113,219   -1.000   -1.000   +0.931     2522  [0.17,0.72,0.11]  ETA 133.2m
     720   114,819   -0.308   -0.955   +0.968     6448  [0.10,0.66,0.24]  ETA 133.0m
     730   116,408   +0.293   -0.993   -0.033     8735  [1.00,0.00,0.00]  ETA 132.8m
     740   117,895   -1.000   -1.000   +0.641     2655  [0.63,0.12,0.25]  ETA 132.7m
     750   119,492   -0.376   -0.995   +0.440     6187  [1.00,0.00,0.00]  ETA 132.4m
     760   121,077   +0.040   -0.987   +0.931     7773  [0.46,0.33,0.21]  ETA 132.3m
     770   122,660   -1.000   -1.000   +0.941     1963  [0.14,0.37,0.49]  ETA 132.0m
     780   124,245   +0.171   -0.985   +0.931     8270  [0.54,0.32,0.13]  ETA 131.8m
     790   125,847   -0.944   -1.000   +0.932     4022  [0.30,0.37,0.33]  ETA 131.6m
     800   127,448   -1.000   -1.000   +0.941     1268  [0.13,0.40,0.47]  ETA 131.4m
     810   129,052   -0.785   -1.000   +0.940     4628  [0.17,0.34,0.50]  ETA 131.2m
     820   130,643   -1.000   -1.000   +0.922     3455  [0.37,0.15,0.49]  ETA 130.9m
     830   132,255   -0.331   -0.988   +0.934     6360  [0.33,0.39,0.28]  ETA 130.7m
     840   133,822   +0.114   -0.974   +0.942     8054  [0.03,0.51,0.46]  ETA 130.5m
     850   135,421   -0.718   -1.000   +0.935     4885  [0.75,0.18,0.07]  ETA 130.3m
     860   137,021   +0.017   -0.987   +0.955     7686  [0.11,0.32,0.57]  ETA 130.0m
