====================================================================
12_capql_train_robust.py  —  CAPQL-Robust (MLP + fault training)
====================================================================
  Obs dim  : 19  (crop(11) + mask(5) + w(3))
  Actor    : MLP  (19→256→256→2)
  Critic   : MLP  (21→256→256→1)
  Steps    : 1,000,000  |  warmup 5,000  |  batch 256
  Hindsight: w ~ Dirichlet(1,1,1) resampled at every batch
  Aug λ=0.5  ε=0.1
  Fault mix: 60% clean | 10% dropout | 10% packet | 10% stuck | 5% N-act | 5% W-act
====================================================================

     ep      step    R_yld    R_ane    R_wef    yield                   w  ETA
  ────────────────────────────────────────────────────────────────────────────
  Collecting warmup steps...

     10     1,579   +0.741   -0.984   -1.000    10443  [0.51,0.01,0.48]  ETA 76.3m
     20     3,159   +0.536   -0.847   -1.000     9661  [0.19,0.77,0.04]  ETA 77.2m
     30     4,763   +0.658   -0.957   -1.000    10126  [0.08,0.54,0.38]  ETA 76.0m
     40     6,370   +0.533   -0.945   -1.000     9649  [0.72,0.07,0.21]  ETA 126.1m
     50     7,964   +0.790   -0.947   -0.152    10631  [0.22,0.20,0.58]  ETA 162.2m
     60     9,583   +0.888   -0.813   -1.000    11002  [0.18,0.68,0.13]  ETA 186.1m
     70    11,194   +0.926   -0.938   -1.000    11148  [0.43,0.08,0.49]  ETA 203.0m
     80    12,794   +1.000   -0.974   -1.000    11450  [0.69,0.22,0.09]  ETA 216.0m
     90    14,381   -0.988   -1.000   -1.000     3856  [0.00,1.00,0.00]  ETA 225.6m
    100    15,970   -0.065   -0.962   +0.333     7371  [0.00,0.00,1.00]  ETA 233.3m
    110    17,581   +0.133   -0.959   +0.385     8126  [0.00,0.00,1.00]  ETA 240.1m
    120    19,192   -0.162   -0.282   -1.000     7001  [0.03,0.88,0.09]  ETA 245.5m
    130    20,779   +0.981   -0.939   -0.578    11359  [0.35,0.07,0.58]  ETA 249.7m
    140    22,414   +0.718   -0.861   -1.000    10354  [0.21,0.64,0.15]  ETA 253.4m
    150    23,997   +0.838   -0.363   -1.000    10812  [0.15,0.84,0.01]  ETA 256.4m
    160    25,598   -0.536   -0.135   -1.000     5579  [0.00,1.00,0.00]  ETA 259.0m
    170    27,199   +1.000   -0.907   -1.000    11497  [0.22,0.52,0.27]  ETA 261.2m
    180    28,782   +0.683   -0.901   -1.000    10224  [0.13,0.52,0.35]  ETA 263.0m
    190    30,388   +0.562   -0.932   -0.065     9763  [0.17,0.19,0.64]  ETA 264.9m
    200    31,997   +0.998   -0.929   -1.000    11422  [0.41,0.17,0.41]  ETA 266.3m
    210    33,616   +0.915   -0.949   -1.000    11105  [0.19,0.53,0.28]  ETA 267.7m
    220    35,219   +1.000   -0.837   -1.000    12110  [0.07,0.67,0.26]  ETA 269.2m
    230    36,809   +1.000   -0.910   -0.783    11572  [0.03,0.51,0.45]  ETA 270.9m
    240    38,394   +0.209   -0.963   +0.470     8416  [0.00,0.00,1.00]  ETA 271.7m
    250    39,978   +0.983   -0.931   -0.719    11364  [0.23,0.37,0.40]  ETA 272.3m
    260    41,541   +1.000   -0.933   -0.003    12449  [0.19,0.15,0.66]  ETA 272.8m
    270    43,142   +0.669   -0.973   -1.000    10169  [0.44,0.17,0.40]  ETA 273.3m
    280    44,761   +0.716   -0.914   -1.000    10348  [0.14,0.54,0.32]  ETA 273.7m
    290    46,365   +1.000   -0.464   -1.000    11707  [0.09,0.84,0.06]  ETA 274.1m
    300    47,939   +0.399   -0.089   -0.479     9140  [0.00,1.00,0.00]  ETA 274.5m
    310    49,542   +0.847   -0.914   -1.000    10845  [0.37,0.53,0.09]  ETA 274.9m
    320    51,138   +1.000   -0.935   -1.000    11564  [0.61,0.35,0.03]  ETA 275.1m
    330    52,741   +0.808   -0.920   -1.000    10698  [0.23,0.33,0.44]  ETA 275.3m
    340    54,343   +1.000   -0.934   -1.000    11565  [0.55,0.26,0.19]  ETA 275.5m
    350    55,936   +0.888   -0.940   -1.000    11005  [0.11,0.56,0.32]  ETA 275.6m
    360    57,412   +0.725   -0.815   -1.000    10383  [0.07,0.70,0.24]  ETA 275.7m
    370    59,000   +0.909   -0.937   -1.000    11084  [1.00,0.00,0.00]  ETA 275.8m
    380    60,605   +0.438   -0.194   -1.000     9288  [0.00,1.00,0.00]  ETA 276.1m
    390    62,200   +0.655   -0.941   -1.000    10114  [0.53,0.35,0.12]  ETA 276.1m
