====================================================================
12_capql_train_robust.py  —  CAPQL-Robust  (GRU + fault training)
====================================================================
  Obs dim  : 19  (crop + mask + w)
  Actor    : GRU(19→256) + Linear(256→2)
  Critic   : MLP  (21→256→256→1)
  Steps    : 1,000,000
  Seq len  : 16  (burn-in 4,  grad steps/ep 8)
  Aug λ    : 0.5
  Fault mix: 60% clean | 10% dropout | 10% packet | 10% stuck | 5% N-act | 5% W-act
====================================================================

      ep     steps    R_yld    R_ane    R_wef    yield                   w
  ────────────────────────────────────────────────────────────────────────
  Collecting first episodes... (first log line appears at ep 10)

      10     1,579   +0.741   -0.984   -1.000    10443  [1.00,0.00,0.00]  ETA 94.6m
      20     3,159   +0.536   -0.987   -1.000     9661  [0.21,0.23,0.56]  ETA 104.4m
      30     4,763   +0.658   -0.989   -1.000    10126  [0.76,0.16,0.08]  ETA 111.6m
      40     6,370   +0.533   -0.989   -1.000     9649  [0.78,0.14,0.08]  ETA 120.1m
      50     7,964   +0.928   -0.990   -0.207    11154  [0.10,0.07,0.83]  ETA 121.3m
      60     9,583   +0.888   -0.897   -1.000    11002  [0.22,0.71,0.08]  ETA 123.4m
      70    11,194   +0.926   -0.989   -1.000    11148  [0.67,0.10,0.23]  ETA 123.4m
      80    12,794   +1.000   -0.991   -1.000    11456  [0.74,0.00,0.26]  ETA 125.1m
      90    14,381   +0.839   -0.694   -1.000    10816  [0.10,0.83,0.06]  ETA 124.7m
     100    15,970   +0.533   -0.870   -1.000     9651  [0.08,0.76,0.17]  ETA 125.7m
     110    17,581   +0.900   -0.987   -1.000    11051  [0.50,0.20,0.31]  ETA 125.6m
     120    19,192   +0.657   -0.965   -1.000    10123  [0.19,0.53,0.28]  ETA 125.8m
     130    20,779   +1.000   -0.989   -0.684    11462  [0.20,0.10,0.71]  ETA 126.5m
     140    22,414   +0.944   -0.991   -1.000    11216  [0.66,0.00,0.34]  ETA 126.4m
     150    23,997   +0.945   -0.968   -0.185    11219  [0.00,0.00,1.00]  ETA 126.7m
     160    25,598   +1.000   -0.975   -1.000    11626  [0.47,0.39,0.15]  ETA 126.9m
     170    27,199   +1.000   -0.968   -1.000    11575  [0.44,0.21,0.35]  ETA 126.9m
     180    28,782   +0.683   -0.952   -1.000    10224  [0.03,0.59,0.38]  ETA 126.9m
     190    30,388   +0.853   -0.990   -1.000    10872  [0.90,0.07,0.02]  ETA 126.3m
     200    31,997   +1.000   -0.982   -1.000    11458  [0.64,0.29,0.07]  ETA 126.4m
     210    33,616   +0.915   -0.964   -1.000    11105  [0.14,0.52,0.35]  ETA 126.3m
     220    35,219   +1.000   -0.974   -1.000    12110  [0.32,0.40,0.28]  ETA 126.4m
     230    36,809   +1.000   -0.981   -1.000    11572  [0.32,0.31,0.37]  ETA 126.1m
     240    38,394   +0.598   -0.990   -1.000     9899  [0.70,0.13,0.18]  ETA 126.0m
     250    39,978   +0.983   -0.844   -1.000    11364  [0.18,0.76,0.06]  ETA 126.0m
     260    41,541   +1.000   -0.989   -0.222    12506  [0.13,0.06,0.81]  ETA 125.9m
     270    43,142   +0.669   -0.979   -0.170    10169  [0.00,0.00,1.00]  ETA 125.4m
     280    44,761   +0.210   -0.986   -0.215     8421  [0.06,0.07,0.87]  ETA 125.3m
     290    46,365   +1.000   -0.955   -1.000    12292  [0.02,0.54,0.44]  ETA 124.8m
     300    47,939   +0.695   -0.988   -0.207    10267  [0.00,0.00,1.00]  ETA 124.3m
     310    49,542   +0.888   -0.968   -1.000    11004  [0.47,0.49,0.04]  ETA 123.9m
     320    51,138   +1.000   -0.956   -1.000    11670  [0.15,0.54,0.31]  ETA 123.6m
     330    52,741   +0.808   -0.986   -1.000    10698  [0.66,0.23,0.11]  ETA 123.2m
     340    54,343   +1.000   -0.955   -1.000    11565  [0.16,0.54,0.30]  ETA 122.9m
     350    55,936   +0.999   -0.969   -1.000    11427  [0.42,0.46,0.12]  ETA 122.9m
     360    57,412   +0.770   -0.981   -1.000    10554  [0.17,0.33,0.50]  ETA 122.9m
     370    59,000   +1.000   -0.977   -1.000    12121  [0.22,0.35,0.43]  ETA 122.6m
     380    60,605   +0.830   -0.981   -1.000    10784  [0.39,0.32,0.29]  ETA 122.0m
     390    62,200   +0.664   -0.985   -1.000    10151  [0.65,0.28,0.07]  ETA 121.7m
     400    63,792   +0.846   -0.980   -1.000    10843  [0.13,0.36,0.52]  ETA 121.6m
     410    65,385   +0.974   -0.989   -1.000    11332  [0.49,0.08,0.42]  ETA 121.3m
     420    66,977   +0.510   -0.988   -1.000     9565  [0.46,0.21,0.33]  ETA 121.1m
     430    68,573   +0.630   -0.991   -0.248    10021  [0.19,0.07,0.75]  ETA 120.9m
     440    70,173   -0.071   -0.515   -1.000     7348  [0.03,0.89,0.08]  ETA 120.7m
     450    71,759   +0.519   -0.559   -1.000     9596  [0.10,0.71,0.20]  ETA 120.6m
     460    73,343   +0.514   -0.989   -0.200     9576  [0.05,0.18,0.77]  ETA 120.4m
     470    74,933   +0.857   -0.965   -1.000    10885  [0.29,0.50,0.21]  ETA 120.4m
     480    76,517   +1.000   -0.980   -1.000    11977  [0.65,0.31,0.04]  ETA 120.4m
     490    78,105   +1.000   -0.867   -1.000    12269  [0.40,0.45,0.15]  ETA 120.1m
     500    79,624   +0.911   -0.983   -1.000    11091  [0.32,0.29,0.40]  ETA 120.0m
     510    81,238   -0.057   -0.446   -1.000     7401  [0.06,0.94,0.00]  ETA 119.8m
     520    82,844   +1.000   -0.991   -1.000    11762  [1.00,0.00,0.00]  ETA 119.5m
     530    84,471   +1.000   -0.990   -0.215    11654  [0.06,0.04,0.91]  ETA 119.3m
     540    86,081   -0.094   -0.436   -1.000     7261  [0.00,1.00,0.00]  ETA 119.1m
     550    87,679   +1.000   -0.983   -1.000    12198  [0.10,0.25,0.65]  ETA 118.7m
     560    89,292   +0.794   -0.983   -1.000    10644  [0.49,0.30,0.21]  ETA 118.6m
     570    90,878   +0.924   -0.900   -1.000    11139  [0.15,0.70,0.15]  ETA 118.5m
     580    92,485   +0.420   -0.991   -1.000     9222  [0.40,0.10,0.50]  ETA 118.2m
     590    94,091   +0.217   -0.344   -1.000     8447  [0.06,0.94,0.00]  ETA 118.0m
     600    95,695   +0.756   -0.962   -1.000    10501  [0.06,0.54,0.40]  ETA 117.8m
     610    97,317   +0.981   -0.990   -1.000    11358  [0.60,0.06,0.34]  ETA 117.8m
     620    98,912   +0.830   -0.730   -1.000    10784  [0.00,0.82,0.17]  ETA 117.4m
     630   100,507   +0.865   -0.943   -1.000    10916  [0.13,0.61,0.26]  ETA 117.2m
     640   102,013   +1.000   -0.988   -1.000    12305  [0.75,0.09,0.16]  ETA 117.2m
     650   103,587   +1.000   -0.977   -1.000    13514  [0.65,0.32,0.02]  ETA 116.8m
     660   105,190   +0.700   -0.989   -1.000    10287  [0.33,0.16,0.51]  ETA 116.7m
     670   106,796   +0.836   -0.925   -1.000    10807  [0.30,0.67,0.04]  ETA 116.6m
     680   108,402   +1.000   -0.952   -1.000    11991  [0.30,0.57,0.13]  ETA 116.5m
     690   110,021   +0.848   -0.991   -1.000    10852  [0.82,0.04,0.13]  ETA 116.1m
     700   111,613   +1.000   -0.991   -1.000    11437  [1.00,0.00,0.00]  ETA 115.9m
     710   113,219   +1.000   -0.972   -1.000    11455  [0.14,0.42,0.44]  ETA 115.7m
     720   114,819   +0.224   -0.321   -1.000     8474  [0.00,1.00,0.00]  ETA 115.5m
     730   116,408   +0.869   -0.986   -0.230    10932  [0.03,0.12,0.84]  ETA 115.3m
     740   117,902   +1.000   -0.966   -0.777    12051  [0.04,0.26,0.70]  ETA 115.2m
     750   119,499   +1.000   -0.981   -1.000    12095  [0.25,0.30,0.44]  ETA 115.0m
     760   121,084   +1.000   -0.971   -1.000    11617  [0.18,0.44,0.38]  ETA 114.7m
     770   122,667   +0.751   -0.980   -1.000    10480  [0.64,0.35,0.02]  ETA 114.5m
     780   124,252   +0.079   -0.365   -1.000     7920  [0.00,1.00,0.00]  ETA 114.4m
     790   125,854   +1.000   -0.947   -1.000    11599  [0.29,0.58,0.12]  ETA 114.2m
