==============================================================================
SIMPLE PPO — CONFIGURATION
==============================================================================
  Environment
    mode                 all
    random_weather       True
    enable_faults        False
    dssat_seed           123

  PPO Hyperparameters
    total_timesteps      1,000,000
    n_steps              4,096
    batch_size           64
    n_epochs             10
    learning_rate        0.0003
    gamma                0.99
    gae_lambda           0.95
    clip_range           0.2
    ent_coef             0.01
    max_grad_norm        0.5
    device               cpu

  Normalisation (VecNormalize)
    norm_obs             True
    norm_reward          True
    clip_obs             5.0
    clip_reward          10.0

  Reward Weights (seasonal)
    W_yield              0.40
    W_hiad               0.10
    W_ane                0.30
    W_penalty            0.20
==============================================================================

==============================================================================
TRAINING — 1,000,000 timesteps  |  n_steps=4096
==============================================================================

  Episode log  → /workspace/episode_log_nitrogen.csv
  Metrics log  → /workspace/training_metrics_nitrogen.csv

     ep      step   len    cum_R   yield      N      W   R_seas    R_yld   R_hiad    R_ane
  -----  --------  ----  -------  ------  -----  -----  -------  -------  -------  -------
      1       161   161   +7.484    2298     58     80  -0.5057  -1.0000  -0.6051  -0.0120
      2       321   160   -1.680    3696     68     69  -0.3697  -1.0000  -0.4246  +0.3604
      3       482   161   -5.119    1627     52     66  -0.6051  -1.0000  -1.0000  -0.2138
      4       643   161   -4.208    2356     72     72  -0.5666  -1.0000  -0.4146  -0.1860
      5       800   157   +1.844    3992     64     69  -0.2259  -0.9523  +0.1201  +0.5532
      6       959   159   -2.185    3411     74     58  -0.4415  -1.0000  -0.3475  +0.1533
      7      1120   161   -2.998    1314     68     61  -0.7319  -1.0000  -1.0000  -0.5141
      8      1273   153   +3.166    2959     64     56  -0.3697  -1.0000  +0.1798  +0.1654
      9      1435   162   -5.246    1698     62     76  -0.6582  -1.0000  -1.0000  -0.3192
     10      1597   162   +5.175    4703     63     68  -0.0492  -0.7656  +0.0856  +0.8750
     11      1761   164   -1.957    2604     58     64  -0.4838  -1.0000  -0.9231  +0.1331
     12      1925   164   -4.595    1814     70     56  -0.6801  -1.0000  -1.0000  -0.3564
     13      2080   155   -6.374    1819     54     64  -0.5891  -1.0000  -1.0000  -0.1592
     14      2241   161   -2.582    1195     54     60  -0.6854  -1.0000  -0.9417  -0.4512
     15      2403   162   -2.035    3021     70     56  -0.4663  -1.0000  -0.3787  +0.0758
     16      2561   158   -1.132    3169     61     62  -0.4007  -1.0000  -0.6303  +0.3002
     17      2724   163   +2.208    4165     67     55  -0.2140  -0.9067  +0.0931  +0.5555
     18      2886   162   -3.759    2287     56     68  -0.5000  -1.0000  -0.6968  +0.0185
     19      3044   158   -2.729    2125     55     83  -0.5170  -1.0000  -0.6473  -0.0420
     20      3208   164   +3.814    4530     67     70  -0.1496  -0.8111  -0.0902  +0.6998
     21      3363   155   +2.812    4255     57     61  -0.0902  -0.8833  +0.0225  +0.8677
     22      3524   161   +0.822    4060     64     61  -0.2529  -0.9345  -0.3106  +0.5786
     23      3679   155   -4.044    3050     80     66  -0.5177  -1.0000  -0.2933  -0.0511
     24      3844   165   -0.059    3957     68     68  -0.2940  -0.9613  -0.1474  +0.4581
     25      3997   153   -4.839    2296     57     60  -0.5215  -1.0000  -0.8484  +0.0021
     26      4156   159   +4.000    4511     64     61  -0.0808  -0.8161  +0.3301  +0.7673
     27      4313   157   -1.483    3434     71     63  -0.4129  -1.0000  -0.3039  +0.2119
     28      4468   155   -1.224    2839     61     54  -0.4434  -1.0000  -0.5623  +0.1577
