==============================================================================
SIMPLE PPO — CONFIGURATION
==============================================================================
  Environment
    mode                 all
    random_weather       True
    enable_faults        False
    dssat_seed           123

  PPO Hyperparameters
    total_timesteps      1,000,000
    n_steps              4,096
    batch_size           64
    n_epochs             10
    learning_rate        0.0003
    gamma                0.99
    gae_lambda           0.95
    clip_range           0.2
    ent_coef             0.01
    max_grad_norm        0.5
    device               cpu

  Normalisation (VecNormalize)
    norm_obs             True
    norm_reward          True
    clip_obs             5.0
    clip_reward          10.0

  Reward Weights (seasonal)
    W_yield              0.40
    W_hiad               0.10
    W_ane                0.30
    W_penalty            0.20
==============================================================================

==============================================================================
TRAINING — 1,000,000 timesteps  |  n_steps=4096
==============================================================================

  Episode log  → /workspace/episode_log_nitrogen_v2.csv
  Metrics log  → /workspace/training_metrics_nitrogen_v2.csv

     ep      step   len    cum_R   yield      N      W   R_seas    R_yld   R_hiad    R_ane
  -----  --------  ----  -------  ------  -----  -----  -------  -------  -------  -------
      1       161   161   +9.453    2298     58     80  -0.3499  -1.0000  -0.6051  -0.0120
      2       321   160   +2.085    3696     68     69  -0.1702  -1.0000  -0.4246  +0.3604
      3       482   161   -4.293    1627     52     66  -0.4573  -1.0000  -1.0000  -0.2138
      4       643   161   -2.760    2356     72     72  -0.4512  -1.0000  -0.4146  -0.1860
      5       800   157   +6.210    3992     64     69  -0.0306  -0.9523  +0.1201  +0.5532
      6       959   159   +0.873    3411     74     58  -0.2787  -1.0000  -0.3475  +0.1533
      7      1120   161   -2.175    1314     68     61  -0.6345  -1.0000  -1.0000  -0.5141
      8      1273   153   +6.029    2959     64     56  -0.2278  -1.0000  +0.1798  +0.1654
      9      1435   162   -4.018    1698     62     76  -0.5302  -1.0000  -1.0000  -0.3192
     10      1597   162   +9.430    4703     63     68  +0.1686  -0.7656  +0.0856  +0.8750
     11      1761   164   +1.245    2604     58     64  -0.2897  -1.0000  -0.9231  +0.1331
     12      1925   164   -3.911    1814     70     56  -0.5598  -1.0000  -1.0000  -0.3564
     13      2080   155   -4.245    1819     54     64  -0.4338  -1.0000  -1.0000  -0.1592
     14      2241   161   -1.477    1195     54     60  -0.5769  -1.0000  -0.9417  -0.4512
     15      2403   162   +0.354    3021     70     56  -0.3123  -1.0000  -0.3787  +0.0758
     16      2561   158   +2.200    3169     61     62  -0.1973  -1.0000  -0.6303  +0.3002
     17      2724   163   +5.641    4165     67     55  -0.0244  -0.9067  +0.0931  +0.5555
     18      2886   162   -1.241    2287     56     68  -0.3341  -1.0000  -0.6968  +0.0185
     19      3044   158   -0.322    2125     55     83  -0.3628  -1.0000  -0.6473  -0.0420
     20      3208   164   +7.702    4530     67     70  +0.0561  -0.8111  -0.0902  +0.6998
     21      3363   155   +7.241    4255     57     61  +0.1496  -0.8833  +0.0225  +0.8677
     22      3524   161   +4.739    4060     64     61  -0.0347  -0.9345  -0.3106  +0.5786
     23      3679   155   -2.135    3050     80     66  -0.3908  -1.0000  -0.2933  -0.0511
     24      3844   165   +3.418    3957     68     68  -0.0995  -0.9613  -0.1474  +0.4581
