==============================================================================
SIMPLE PPO — CONFIGURATION
==============================================================================
  Environment
    mode                 all
    random_weather       True
    enable_faults        False
    dssat_seed           123

  PPO Hyperparameters
    total_timesteps      1,000,000
    n_steps              4,096
    batch_size           64
    n_epochs             10
    learning_rate        0.0003
    gamma                0.99
    gae_lambda           0.95
    clip_range           0.2
    ent_coef             0.01
    max_grad_norm        0.5
    device               cpu

  Normalisation (VecNormalize)
    norm_obs             True
    norm_reward          True
    clip_obs             5.0
    clip_reward          10.0

  Reward Weights (seasonal)
    W_yield              0.40
    W_hiad               0.10
    W_ane                0.30
    W_penalty            0.20
==============================================================================

==============================================================================
TRAINING — 1,000,000 timesteps  |  n_steps=4096
==============================================================================

  Episode log  → /workspace/episode_log_water.csv
  Metrics log  → /workspace/training_metrics_water.csv

     ep      step   len    cum_R   yield      N      W   R_seas    R_yld   R_hiad    R_ane
  -----  --------  ----  -------  ------  -----  -----  -------  -------  -------  -------
      1       161   161   +3.688    2298     58     80  -0.4871  -1.0000  -0.6051  -0.0120
      2       321   160   -3.223    3696     68     69  -0.3391  -1.0000  -0.4246  +0.3604
      3       482   161   -5.821    1627     52     66  -0.5579  -1.0000  -1.0000  -0.2138
      4       643   161   -5.396    2356     72     72  -0.5100  -1.0000  -0.4146  -0.1860
      5       800   157   -0.169    3992     64     69  -0.2138  -0.9523  +0.1201  +0.5532
      6       959   159   -3.403    3411     74     58  -0.3722  -1.0000  -0.3475  +0.1533
      7      1120   161   -3.541    1314     68     61  -0.6427  -1.0000  -1.0000  -0.5141
      8      1273   153   +2.880    2959     64     56  -0.3099  -1.0000  +0.1798  +0.1654
      9      1435   162   -6.393    1698     62     76  -0.6133  -1.0000  -1.0000  -0.3192
     10      1597   162   +3.594    4703     63     68  -0.0727  -0.7656  +0.0856  +0.8750
     11      1761   164   -3.774    2604     58     64  -0.4438  -1.0000  -0.9231  +0.1331
     12      1925   164   -5.050    1814     70     56  -0.5857  -1.0000  -1.0000  -0.3564
     13      2080   155   -7.526    1819     54     64  -0.5387  -1.0000  -1.0000  -0.1592
     14      2241   161   -2.566    1195     54     60  -0.6123  -1.0000  -0.9417  -0.4512
     15      2403   162   -3.243    3021     70     56  -0.3947  -1.0000  -0.3787  +0.0758
     16      2561   158   -2.636    3169     61     62  -0.3619  -1.0000  -0.6303  +0.3002
     17      2724   163   +1.109    4165     67     55  -0.1778  -0.9067  +0.0931  +0.5555
     18      2886   162   -5.539    2287     56     68  -0.4644  -1.0000  -0.6968  +0.0185
     19      3044   158   -5.539    2125     55     83  -0.5065  -1.0000  -0.6473  -0.0420
     20      3208   164   +1.977    4530     67     70  -0.1580  -0.8111  -0.0902  +0.6998
     21      3363   155   +1.333    4255     57     61  -0.0933  -0.8833  +0.0225  +0.8677
     22      3524   161   -0.585    4060     64     61  -0.2282  -0.9345  -0.3106  +0.5786
     23      3679   155   -5.591    3050     80     66  -0.4468  -1.0000  -0.2933  -0.0511
     24      3844   165   -1.149    3957     68     68  -0.2698  -0.9613  -0.1474  +0.4581
     25      3997   153   -6.242    2296     57     60  -0.4692  -1.0000  -0.8484  +0.0021
     26      4156   159   +2.712    4499     64     61  -0.0793  -0.8191  +0.3265  +0.7693
     27      4313   157   -3.133    3422     71     63  -0.3611  -1.0000  -0.3106  +0.2096
     28      4468   155   -2.578    2816     61     54  -0.3870  -1.0000  -0.5767  +0.1476
     29      4631   163   -1.624    3890     73     58  -0.3141  -0.9789  -0.3351  +0.3300
     30      4792   161   -4.896    2935     71     61  -0.4593  -1.0000  -0.7859  +0.0327
     31      4953   161   -1.744    3788     65     65  -0.2573  -1.0000  +0.0030  +0.4612
     32      5115   162   -4.458    2298     74     64  -0.5096  -1.0000  -0.4761  -0.2216
     33      5278   163   -3.875    1200     67     76  -0.6836  -1.0000  -1.0000  -0.5507
     34      5433   155   -3.874    2779     62     50  -0.3728  -1.0000  -0.4332  +0.1211
     35      5590   157   +1.447    3942     58     48  -0.1041  -0.9652  +0.3617  +0.7036
     36      5745   155   -4.628     914     81     52  -0.6903  -1.0000  -1.0000  -0.7165
     37      5906   161   -3.156    2474     64     61  -0.3915  -1.0000  +0.0435  -0.0266
     38      6075   169   -0.297    1378     58     64  -0.5544  -1.0000  -0.4285  -0.4005
