timestep,n_updates,ep_rew_mean,ep_len_mean,policy_loss,value_loss,entropy_loss,explained_variance,clip_fraction,approx_kl,fps
4096,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8192,10,0.0,0.0,-0.00222801,1.268623,-2.836128,-0.354637,0.023657,0.00349619,0
12288,20,0.0,0.0,-0.00330356,0.402665,-2.856997,0.718661,0.038037,0.00488482,0
16384,30,0.0,0.0,-0.00401859,0.30794,-2.884012,0.864333,0.057568,0.00542143,0
20480,40,0.0,0.0,-0.00369461,0.254447,-2.907061,0.927509,0.0354,0.00521106,0
24576,50,0.0,0.0,-0.00306347,0.30396,-2.923333,0.934012,0.033252,0.0051587,0
28672,60,0.0,0.0,-0.00446543,0.224901,-2.919946,0.959968,0.053662,0.00673302,0
32768,70,0.0,0.0,-0.00313259,0.317373,-2.897229,0.943183,0.032446,0.00520436,0
36864,80,0.0,0.0,-0.00363238,0.512011,-2.887554,0.919574,0.031543,0.00346354,0
40960,90,0.0,0.0,-0.0028269,0.313262,-2.886605,0.921213,0.033252,0.00481158,0
45056,100,0.0,0.0,-0.00260408,0.289632,-2.87099,0.939372,0.048364,0.00539203,0
49152,110,0.0,0.0,-0.00470399,0.249417,-2.865518,0.933769,0.053125,0.0063753,0
53248,120,0.0,0.0,-0.0028462,0.288568,-2.859035,0.934107,0.032593,0.0043298,0
57344,130,0.0,0.0,-0.00540344,0.328224,-2.847928,0.941066,0.057275,0.00625261,0
61440,140,0.0,0.0,-0.00428824,0.278904,-2.839352,0.940688,0.043408,0.00514203,0
65536,150,0.0,0.0,-0.0034646,0.397079,-2.830784,0.906377,0.046875,0.0052053,0
69632,160,0.0,0.0,-0.00349678,0.332187,-2.794515,0.902628,0.040527,0.00556981,0
73728,170,0.0,0.0,-0.00543047,0.212422,-2.79011,0.913849,0.06123,0.00652535,0
77824,180,0.0,0.0,-0.00374247,0.247883,-2.785398,0.897874,0.041113,0.00579259,0
81920,190,0.0,0.0,-0.00484392,0.299358,-2.773494,0.915033,0.064282,0.00710259,0
86016,200,0.0,0.0,-0.00577394,0.202933,-2.765026,0.926365,0.100488,0.00897902,0
90112,210,0.0,0.0,-0.00399881,0.165719,-2.745167,0.949975,0.081689,0.00824185,0
94208,220,0.0,0.0,-0.00484637,0.153425,-2.708787,0.923992,0.065771,0.00604851,0
98304,230,0.0,0.0,-0.00119289,0.116682,-2.688675,0.932709,0.045483,0.0034814,0
102400,240,0.0,0.0,-0.00290241,0.124496,-2.690887,0.950326,0.045532,0.00494648,0
106496,250,0.0,0.0,-0.00281556,0.375286,-2.672473,0.856753,0.045532,0.00650051,0
110592,260,0.0,0.0,-0.00380285,0.120919,-2.634053,0.944498,0.050659,0.00500598,0
114688,270,0.0,0.0,-0.00367747,0.099282,-2.600831,0.945561,0.056494,0.00518959,0
118784,280,0.0,0.0,-0.00313937,0.058245,-2.570756,0.950091,0.064844,0.00590614,0
122880,290,0.0,0.0,-0.00435895,0.07639,-2.53758,0.950966,0.055078,0.00516263,0
126976,300,0.0,0.0,-0.00620264,0.057881,-2.503168,0.967948,0.07063,0.00638374,0
131072,310,0.0,0.0,-0.00494589,0.062379,-2.486123,0.959659,0.072681,0.00513928,0
135168,320,0.0,0.0,-0.00295098,0.037639,-2.464453,0.973179,0.051001,0.00592355,0
139264,330,0.0,0.0,-0.00091748,0.035073,-2.444788,0.970042,0.035059,0.00352076,0
143360,340,0.0,0.0,-0.00362678,0.031155,-2.421534,0.97871,0.052075,0.00554977,0
147456,350,0.0,0.0,-0.00361792,0.030766,-2.41259,0.98007,0.053442,0.00613952,0
151552,360,0.0,0.0,-0.00127924,0.065014,-2.41104,0.950781,0.036401,0.00352327,0
155648,370,0.0,0.0,-0.00203553,0.042864,-2.404504,0.970687,0.049438,0.00521367,0
159744,380,0.0,0.0,-0.00202166,0.038513,-2.409143,0.973667,0.040942,0.00526278,0
163840,390,0.0,0.0,-0.00140358,0.034206,-2.424452,0.977601,0.038208,0.00468154,0
167936,400,0.0,0.0,-0.00379271,0.036284,-2.438716,0.978586,0.060962,0.00540938,0
172032,410,0.0,0.0,-0.00240379,0.036763,-2.43247,0.975887,0.039648,0.00483935,0
176128,420,0.0,0.0,-0.00454073,0.040353,-2.417877,0.977904,0.054834,0.00613942,0
180224,430,0.0,0.0,-0.00253767,0.032665,-2.411647,0.9803,0.042261,0.00505283,0
184320,440,0.0,0.0,-0.00329828,0.028732,-2.415742,0.978159,0.055737,0.0059835,0
188416,450,0.0,0.0,-0.00215949,0.02945,-2.415092,0.981025,0.056006,0.00524868,0
192512,460,0.0,0.0,-0.00385927,0.032891,-2.42078,0.981653,0.055688,0.00505904,0
196608,470,0.0,0.0,-0.00441651,0.034096,-2.430509,0.980616,0.068945,0.00723653,0
200704,480,0.0,0.0,-0.00330345,0.043654,-2.442036,0.966337,0.064258,0.00543604,0
204800,490,0.0,0.0,-0.00320992,0.050555,-2.4538,0.954565,0.043188,0.00326305,0
208896,500,0.0,0.0,-0.00287703,0.051715,-2.477919,0.96224,0.052417,0.00454536,0
212992,510,0.0,0.0,-0.00438696,0.052713,-2.495714,0.96449,0.051587,0.00420213,0
217088,520,0.0,0.0,-0.00401091,0.039539,-2.488845,0.968921,0.06145,0.00626765,0
221184,530,0.0,0.0,-0.00273635,0.326862,-2.480667,0.842564,0.059668,0.00515173,0
225280,540,0.0,0.0,-0.00252194,0.053732,-2.473228,0.956126,0.045166,0.00495908,0
229376,550,0.0,0.0,-0.00121581,0.060745,-2.485417,0.950126,0.032861,0.00401674,0
233472,560,0.0,0.0,-0.00306969,0.100216,-2.498245,0.915335,0.059326,0.00454579,0
237568,570,0.0,0.0,-0.00428583,0.082689,-2.50096,0.945749,0.060376,0.00547312,0
241664,580,0.0,0.0,-0.00305446,0.105103,-2.500276,0.940732,0.042969,0.00497364,0
245760,590,0.0,0.0,-0.00248589,0.095037,-2.494951,0.931535,0.038794,0.00469788,0
249856,600,0.0,0.0,-0.00136261,0.136426,-2.502098,0.929047,0.035352,0.00293308,0
253952,610,0.0,0.0,-0.00306801,0.108946,-2.501558,0.944415,0.059375,0.0068743,0
258048,620,0.0,0.0,-0.00300595,0.178176,-2.493312,0.911867,0.059717,0.00677965,0
262144,630,0.0,0.0,-0.0042529,0.09012,-2.471895,0.948197,0.075513,0.00734076,0
266240,640,0.0,0.0,-0.00402241,0.062653,-2.450004,0.9266,0.066113,0.00622757,0
270336,650,0.0,0.0,-0.00491679,0.081927,-2.435051,0.935615,0.082861,0.00766265,0
274432,660,0.0,0.0,-0.0032993,0.04548,-2.425152,0.968292,0.065332,0.0066595,0
278528,670,0.0,0.0,-0.00219218,0.043966,-2.407478,0.97266,0.063599,0.00596459,0
282624,680,0.0,0.0,-0.0028543,0.055781,-2.388558,0.965851,0.058179,0.0062905,0
286720,690,0.0,0.0,-0.00231362,0.044454,-2.391275,0.975911,0.046729,0.00556773,0
290816,700,0.0,0.0,-0.00324986,0.033763,-2.390419,0.979935,0.058936,0.00551422,0
294912,710,0.0,0.0,-0.00219693,0.038631,-2.373995,0.973078,0.053931,0.00524399,0
299008,720,0.0,0.0,-0.00299485,0.032909,-2.364514,0.980745,0.055786,0.00578686,0
303104,730,0.0,0.0,-0.00284774,0.036154,-2.380241,0.976719,0.061426,0.00597961,0
307200,740,0.0,0.0,-0.00501972,0.029458,-2.400001,0.980504,0.078833,0.00742966,0
311296,750,0.0,0.0,-0.00130925,0.041976,-2.404137,0.964556,0.050342,0.00629518,0
315392,760,0.0,0.0,-0.0013377,0.356484,-2.416118,0.822802,0.053613,0.00470222,0
319488,770,0.0,0.0,-0.00297643,0.048999,-2.419905,0.961894,0.061133,0.00517987,0
323584,780,0.0,0.0,-0.00401397,0.038654,-2.398797,0.972738,0.069702,0.00665643,0
327680,790,0.0,0.0,-0.00162826,0.065831,-2.38155,0.952256,0.060156,0.00829347,0
331776,800,0.0,0.0,-0.00586881,0.062676,-2.372491,0.949877,0.084717,0.00780771,0
335872,810,0.0,0.0,-0.00495054,0.091603,-2.373646,0.909774,0.094238,0.00789408,0
339968,820,0.0,0.0,-0.00709906,0.087011,-2.363419,0.861858,0.095776,0.00761252,0
344064,830,0.0,0.0,-0.00509186,0.09659,-2.333971,0.911003,0.057617,0.00524001,0
348160,840,0.0,0.0,-0.00231987,0.086908,-2.323526,0.879468,0.058984,0.00687185,0
352256,850,0.0,0.0,-0.00306076,0.082381,-2.310546,0.884389,0.073389,0.00654928,0
356352,860,0.0,0.0,-0.00437707,0.077294,-2.309056,0.916205,0.070459,0.005604,0
360448,870,0.0,0.0,-0.00535287,0.064239,-2.304494,0.916278,0.080151,0.00688769,0
364544,880,0.0,0.0,-0.00671608,0.149242,-2.325588,0.823158,0.077271,0.00711429,0
368640,890,0.0,0.0,-0.00249367,0.065697,-2.339221,0.921729,0.055859,0.00543932,0
372736,900,0.0,0.0,-0.00290163,0.063155,-2.34151,0.911415,0.059595,0.00719439,0
376832,910,0.0,0.0,-0.00481966,0.058802,-2.335151,0.922658,0.072095,0.00604665,0
380928,920,0.0,0.0,-0.00470582,0.069041,-2.325417,0.919619,0.068384,0.00703107,0
385024,930,0.0,0.0,-0.00490799,0.373923,-2.330334,0.707416,0.105396,0.00934081,0
389120,940,0.0,0.0,-0.00324066,0.077314,-2.354828,0.873412,0.064014,0.00614104,0
393216,950,0.0,0.0,-0.00352736,0.077633,-2.380608,0.890646,0.064819,0.00797476,0
397312,960,0.0,0.0,-0.00370641,0.091099,-2.407733,0.901179,0.068628,0.00750448,0
401408,970,0.0,0.0,-0.00533532,0.084728,-2.418909,0.91407,0.063281,0.00749732,0
405504,980,0.0,0.0,-0.0038132,0.114142,-2.451838,0.916377,0.050537,0.00649264,0
409600,990,0.0,0.0,-0.00367722,0.099832,-2.464187,0.914227,0.072119,0.00766062,0
413696,1000,0.0,0.0,-0.00497275,0.139985,-2.468691,0.904895,0.063281,0.0068459,0
417792,1010,0.0,0.0,-0.0029618,0.077092,-2.457992,0.896786,0.066016,0.00771441,0
421888,1020,0.0,0.0,-0.00536365,0.108249,-2.457624,0.912522,0.07832,0.00835423,0
425984,1030,0.0,0.0,-0.00287073,0.132015,-2.45724,0.876896,0.084253,0.00830801,0
430080,1040,0.0,0.0,-0.00326138,0.07345,-2.439028,0.865478,0.058032,0.00553071,0
434176,1050,0.0,0.0,-0.00240952,0.124829,-2.439804,0.902035,0.050269,0.00676728,0
438272,1060,0.0,0.0,-0.00329481,0.153697,-2.455709,0.826258,0.053125,0.00546242,0
442368,1070,0.0,0.0,-0.0044416,0.104223,-2.469238,0.930539,0.066113,0.00621525,0
446464,1080,0.0,0.0,-0.0058021,0.080076,-2.471923,0.901091,0.073804,0.00827131,0
450560,1090,0.0,0.0,-0.0021669,0.197514,-2.485854,0.910954,0.055786,0.00487555,0
454656,1100,0.0,0.0,-0.00278046,0.102737,-2.496256,0.808745,0.070093,0.00700423,0
458752,1110,0.0,0.0,-0.00121905,0.092314,-2.482388,0.889069,0.046924,0.00408639,0
462848,1120,0.0,0.0,-0.00490356,0.084316,-2.482202,0.90299,0.08064,0.00648813,0
466944,1130,0.0,0.0,-0.00472105,0.068066,-2.494378,0.878192,0.068945,0.00741347,0
471040,1140,0.0,0.0,-0.00289635,0.080082,-2.488641,0.902599,0.056152,0.00484978,0
475136,1150,0.0,0.0,-0.00733896,0.105687,-2.48139,0.840832,0.095483,0.00804863,0
479232,1160,0.0,0.0,-0.00378113,0.141289,-2.499751,0.705236,0.055713,0.00538622,0
483328,1170,0.0,0.0,-0.00442445,0.089207,-2.499411,0.8089,0.059058,0.0056973,0
487424,1180,0.0,0.0,-0.0030407,0.108194,-2.502035,0.789803,0.057959,0.00541023,0
491520,1190,0.0,0.0,-0.00301792,0.083582,-2.511601,0.881246,0.064673,0.0064826,0
495616,1200,0.0,0.0,-0.00441324,0.080213,-2.533425,0.88584,0.078149,0.00811491,0
499712,1210,0.0,0.0,-0.00533776,0.095176,-2.542252,0.7869,0.069702,0.0068232,0
