timestep,n_updates,ep_rew_mean,ep_len_mean,policy_loss,value_loss,entropy_loss,explained_variance,clip_fraction,approx_kl,fps
4096,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8192,10,0.0,0.0,-0.0021863,1.177286,-2.839878,-0.303149,0.02417,0.00314704,0
12288,20,0.0,0.0,-0.00362025,0.393116,-2.863715,0.664869,0.041577,0.00513991,0
16384,30,0.0,0.0,-0.00488794,0.41181,-2.885732,0.807108,0.057446,0.00550984,0
20480,40,0.0,0.0,-0.00403059,0.354574,-2.904802,0.880846,0.040381,0.00576364,0
24576,50,0.0,0.0,-0.00260336,0.445775,-2.914602,0.899634,0.027295,0.0044796,0
28672,60,0.0,0.0,-0.00459865,0.332161,-2.900477,0.926993,0.044849,0.0063352,0
32768,70,0.0,0.0,-0.00342161,0.452614,-2.866665,0.900352,0.031787,0.00540178,0
36864,80,0.0,0.0,-0.00383889,0.695613,-2.849613,0.852455,0.035815,0.0037435,0
40960,90,0.0,0.0,-0.00381289,0.487364,-2.850028,0.82991,0.043799,0.00489499,0
45056,100,0.0,0.0,-0.0026997,0.373225,-2.836792,0.870696,0.039771,0.00540838,0
49152,110,0.0,0.0,-0.00423311,0.359897,-2.835405,0.837624,0.045679,0.0055854,0
53248,120,0.0,0.0,-0.0024416,0.441657,-2.830236,0.857212,0.041797,0.00511977,0
57344,130,0.0,0.0,-0.00592065,0.470827,-2.825373,0.868807,0.06875,0.00612997,0
61440,140,0.0,0.0,-0.00239992,0.334336,-2.827194,0.867245,0.023291,0.00382645,0
65536,150,0.0,0.0,-0.00310095,0.422932,-2.825411,0.795305,0.045581,0.00486257,0
69632,160,0.0,0.0,-0.00429858,0.325352,-2.786768,0.809535,0.046387,0.00658818,0
73728,170,0.0,0.0,-0.0042407,0.166528,-2.767895,0.749487,0.049219,0.00549045,0
77824,180,0.0,0.0,-0.00375206,0.151474,-2.756034,0.845223,0.059473,0.00681481,0
81920,190,0.0,0.0,-0.00333299,0.262486,-2.748815,0.85041,0.054468,0.00552269,0
86016,200,0.0,0.0,-0.00438394,0.181146,-2.747616,0.769824,0.071558,0.00683207,0
90112,210,0.0,0.0,-0.00581097,0.091934,-2.730264,0.821693,0.086377,0.0074922,0
94208,220,0.0,0.0,-0.00375038,0.076073,-2.690107,0.81175,0.051294,0.00554689,0
98304,230,0.0,0.0,-0.00237648,0.047065,-2.677493,0.552273,0.054688,0.00429771,0
102400,240,0.0,0.0,-0.00381755,0.091968,-2.675759,0.65206,0.052344,0.00514897,0
106496,250,0.0,0.0,-0.00216089,0.412416,-2.664591,0.161746,0.04707,0.00515103,0
110592,260,0.0,0.0,-0.00387889,0.056063,-2.648683,0.624184,0.069751,0.006215,0
114688,270,0.0,0.0,-0.00361509,0.033906,-2.638319,0.433021,0.056104,0.005441,0
118784,280,0.0,0.0,-0.00125875,0.037841,-2.626588,0.56119,0.031299,0.00251869,0
122880,290,0.0,0.0,-0.00506625,0.036898,-2.599626,0.40018,0.068896,0.00593017,0
126976,300,0.0,0.0,-0.00248199,0.033377,-2.587827,0.561167,0.046533,0.00481975,0
131072,310,0.0,0.0,-0.00343587,0.039562,-2.58609,0.259417,0.060669,0.00435338,0
135168,320,0.0,0.0,-0.00349135,0.0356,-2.580309,0.46549,0.058594,0.00525941,0
139264,330,0.0,0.0,-0.00467071,0.030456,-2.592013,0.515946,0.057471,0.00527214,0
143360,340,0.0,0.0,-0.00219283,0.032434,-2.59244,0.4379,0.038013,0.00406565,0
147456,350,0.0,0.0,-0.00264105,0.028891,-2.59196,0.400663,0.043921,0.00482296,0
151552,360,0.0,0.0,-0.00195113,0.038606,-2.588505,0.567179,0.04812,0.00497061,0
155648,370,0.0,0.0,-0.00362466,0.034305,-2.578259,0.325662,0.053369,0.00521242,0
159744,380,0.0,0.0,-0.00267627,0.029286,-2.575951,0.396191,0.05271,0.00576167,0
163840,390,0.0,0.0,-0.00268935,0.034482,-2.581089,0.45037,0.056274,0.00636668,0
167936,400,0.0,0.0,-0.00342813,0.036502,-2.59148,0.423553,0.055518,0.00548178,0
172032,410,0.0,0.0,-0.00424792,0.035069,-2.587042,0.55645,0.067456,0.00669023,0
176128,420,0.0,0.0,-0.00143766,0.04073,-2.564197,0.565177,0.04707,0.00502918,0
180224,430,0.0,0.0,-0.00410901,0.039092,-2.548437,0.494236,0.06748,0.00575912,0
184320,440,0.0,0.0,-0.00141592,0.039047,-2.547454,0.547276,0.03418,0.00404947,0
188416,450,0.0,0.0,-0.00142747,0.049781,-2.545728,0.549104,0.056274,0.00540003,0
192512,460,0.0,0.0,-0.00267715,0.04242,-2.549939,0.580135,0.050659,0.00580913,0
196608,470,0.0,0.0,-0.00187444,0.049949,-2.579893,0.638007,0.05,0.00531098,0
