timestep,n_updates,ep_rew_mean,ep_len_mean,policy_loss,value_loss,entropy_loss,explained_variance,clip_fraction,approx_kl,fps
4096,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8192,10,0.0,0.0,-0.00231492,1.112825,-2.836598,-0.396992,0.02478,0.00363216,0
12288,20,0.0,0.0,-0.00309409,0.335123,-2.856864,0.719321,0.037109,0.00490503,0
16384,30,0.0,0.0,-0.00381534,0.289682,-2.883912,0.85944,0.055908,0.00533167,0
20480,40,0.0,0.0,-0.00363487,0.205658,-2.907953,0.935128,0.034839,0.0048535,0
24576,50,0.0,0.0,-0.00275394,0.258808,-2.926878,0.940779,0.032739,0.00503286,0
28672,60,0.0,0.0,-0.00433601,0.181049,-2.926331,0.965022,0.056665,0.00694672,0
32768,70,0.0,0.0,-0.00287453,0.249076,-2.906053,0.952318,0.032959,0.00527749,0
36864,80,0.0,0.0,-0.00378139,0.470896,-2.895651,0.921357,0.035156,0.00383891,0
40960,90,0.0,0.0,-0.00295052,0.240223,-2.899535,0.935408,0.038281,0.00512543,0
45056,100,0.0,0.0,-0.00250775,0.228061,-2.889772,0.951751,0.044678,0.00527685,0
49152,110,0.0,0.0,-0.00429441,0.204737,-2.885477,0.946708,0.046582,0.00566768,0
53248,120,0.0,0.0,-0.00285852,0.236367,-2.879816,0.94637,0.028394,0.00362205,0
57344,130,0.0,0.0,-0.00448603,0.273727,-2.872218,0.951345,0.04563,0.00532066,0
61440,140,0.0,0.0,-0.00484664,0.23656,-2.871949,0.954664,0.040088,0.00424246,0
65536,150,0.0,0.0,-0.00251963,0.351443,-2.870384,0.925598,0.039233,0.00476147,0
69632,160,0.0,0.0,-0.00300615,0.325159,-2.84671,0.915507,0.035376,0.00506379,0
73728,170,0.0,0.0,-0.00534483,0.193687,-2.849522,0.931711,0.055273,0.00548173,0
77824,180,0.0,0.0,-0.00360705,0.220393,-2.845494,0.918874,0.039282,0.00633726,0
81920,190,0.0,0.0,-0.00400409,0.251615,-2.843078,0.939507,0.058911,0.00680439,0
86016,200,0.0,0.0,-0.00522088,0.198061,-2.841422,0.942622,0.086694,0.00845104,0
90112,210,0.0,0.0,-0.00295363,0.167507,-2.833261,0.961182,0.0698,0.00716812,0
94208,220,0.0,0.0,-0.00473635,0.14826,-2.802368,0.952318,0.065088,0.00589073,0
98304,230,0.0,0.0,-0.00152264,0.137739,-2.781143,0.955478,0.047998,0.00412032,0
102400,240,0.0,0.0,-0.00159454,0.157428,-2.786589,0.961694,0.03606,0.00482316,0
106496,250,0.0,0.0,-0.00257289,0.377863,-2.772654,0.914359,0.03396,0.00501772,0
110592,260,0.0,0.0,-0.00556606,0.153798,-2.741808,0.959044,0.058667,0.00572395,0
114688,270,0.0,0.0,-0.00373402,0.151143,-2.715035,0.954747,0.043457,0.00397922,0
118784,280,0.0,0.0,-0.0023567,0.093617,-2.695184,0.959286,0.047339,0.00485809,0
122880,290,0.0,0.0,-0.00455789,0.113974,-2.663687,0.963843,0.061646,0.00643306,0
126976,300,0.0,0.0,-0.00509201,0.106472,-2.639006,0.963895,0.060718,0.00519694,0
131072,310,0.0,0.0,-0.00382696,0.097451,-2.626778,0.966644,0.059302,0.00434106,0
135168,320,0.0,0.0,-0.00357513,0.069534,-2.611442,0.964126,0.05481,0.00573444,0
139264,330,0.0,0.0,-0.00150934,0.067041,-2.604253,0.966151,0.038892,0.00435539,0
143360,340,0.0,0.0,-0.00410698,0.056815,-2.593526,0.976082,0.056128,0.00548689,0
147456,350,0.0,0.0,-0.004133,0.044346,-2.584093,0.979328,0.068237,0.00818933,0
151552,360,0.0,0.0,-0.00153315,0.086552,-2.578854,0.963728,0.034155,0.00466665,0
155648,370,0.0,0.0,-0.00235816,0.059152,-2.574554,0.973828,0.048535,0.00524451,0
159744,380,0.0,0.0,-0.00257399,0.056732,-2.566928,0.974657,0.041187,0.0056425,0
163840,390,0.0,0.0,-0.00087365,0.05388,-2.570496,0.977551,0.035571,0.00380597,0
167936,400,0.0,0.0,-0.00372307,0.049464,-2.587328,0.979119,0.058154,0.00484824,0
172032,410,0.0,0.0,-0.00306433,0.05384,-2.579844,0.972061,0.05271,0.00626641,0
176128,420,0.0,0.0,-0.00236236,0.064091,-2.567671,0.971114,0.041772,0.00533165,0
180224,430,0.0,0.0,-0.0020833,0.045418,-2.570898,0.980452,0.037451,0.00414236,0
184320,440,0.0,0.0,-0.00355233,0.04486,-2.584386,0.974982,0.051099,0.00535664,0
188416,450,0.0,0.0,-0.0044822,0.044139,-2.592575,0.978379,0.066211,0.00556771,0
192512,460,0.0,0.0,-0.00502303,0.073373,-2.603096,0.965557,0.050659,0.00434686,0
196608,470,0.0,0.0,-0.00634578,0.066279,-2.613871,0.972292,0.082275,0.00810477,0
200704,480,0.0,0.0,-0.00464505,0.087301,-2.629916,0.953313,0.073218,0.00661259,0
204800,490,0.0,0.0,-0.00469633,0.088085,-2.649742,0.95999,0.058813,0.00505024,0
208896,500,0.0,0.0,-0.00480669,0.127573,-2.668591,0.935992,0.076636,0.00654213,0
212992,510,0.0,0.0,-0.00386235,0.097352,-2.689951,0.943874,0.055713,0.00424589,0
217088,520,0.0,0.0,-0.00313724,0.108204,-2.712015,0.951993,0.04917,0.00474606,0
221184,530,0.0,0.0,-0.0037229,0.35284,-2.730584,0.881179,0.070264,0.00670415,0
225280,540,0.0,0.0,-0.0027963,0.086526,-2.738131,0.954375,0.045215,0.00496767,0
229376,550,0.0,0.0,-0.00261607,0.078245,-2.756003,0.952537,0.056592,0.00613416,0
233472,560,0.0,0.0,-0.00369356,0.117352,-2.764266,0.941198,0.046533,0.00460065,0
237568,570,0.0,0.0,-0.00290677,0.069922,-2.788367,0.971282,0.0573,0.00775451,0
241664,580,0.0,0.0,-0.00238206,0.076209,-2.795347,0.966163,0.044897,0.00580983,0
245760,590,0.0,0.0,-0.00396732,0.06781,-2.785673,0.966582,0.061401,0.00650487,0
249856,600,0.0,0.0,-0.00343587,0.073772,-2.774898,0.966059,0.058032,0.00573695,0
253952,610,0.0,0.0,-0.00299822,0.074218,-2.763504,0.966787,0.071362,0.00744935,0
258048,620,0.0,0.0,-0.00416973,0.076922,-2.750363,0.952874,0.075464,0.00838989,0
262144,630,0.0,0.0,-0.00165731,0.062674,-2.753224,0.972041,0.049243,0.00480929,0
266240,640,0.0,0.0,-0.0053649,0.05722,-2.743591,0.970843,0.078589,0.00622221,0
270336,650,0.0,0.0,-0.00598365,0.063454,-2.736856,0.974123,0.083862,0.0077353,0
274432,660,0.0,0.0,-0.00490624,0.059191,-2.728745,0.976077,0.079663,0.00754819,0
278528,670,0.0,0.0,-0.00429263,0.064064,-2.719274,0.972406,0.069116,0.00650983,0
282624,680,0.0,0.0,-0.00493716,0.063948,-2.719162,0.970535,0.071216,0.00693313,0
286720,690,0.0,0.0,-0.00375868,0.060351,-2.726065,0.972476,0.066919,0.00823768,0
290816,700,0.0,0.0,-0.0037751,0.057661,-2.729146,0.976209,0.071289,0.00602648,0
294912,710,0.0,0.0,-0.00374283,0.08407,-2.728469,0.960758,0.074805,0.00741219,0
299008,720,0.0,0.0,-0.00229104,0.07597,-2.720316,0.951969,0.061646,0.00683826,0
303104,730,0.0,0.0,-0.00569145,0.057765,-2.736418,0.971044,0.08208,0.00768858,0
307200,740,0.0,0.0,-0.00584465,0.061122,-2.750065,0.965647,0.084717,0.00727283,0
311296,750,0.0,0.0,-0.00245784,0.059002,-2.755182,0.969742,0.05542,0.00597217,0
315392,760,0.0,0.0,-0.00353981,0.384182,-2.768823,0.856045,0.075073,0.0080552,0
319488,770,0.0,0.0,-0.00536593,0.106851,-2.753935,0.926275,0.086279,0.00746167,0
323584,780,0.0,0.0,-0.00348541,0.072726,-2.739532,0.936665,0.080518,0.00678493,0
327680,790,0.0,0.0,-0.00302433,0.089241,-2.742137,0.898386,0.064868,0.00766837,0
331776,800,0.0,0.0,-0.0048883,0.083658,-2.737363,0.921598,0.078003,0.00707827,0
335872,810,0.0,0.0,-0.00422811,0.114336,-2.731258,0.880441,0.067358,0.00521278,0
339968,820,0.0,0.0,-0.0067266,0.13722,-2.715928,0.863122,0.093433,0.00838235,0
344064,830,0.0,0.0,-0.00431406,0.092283,-2.693162,0.893475,0.07478,0.00663604,0
348160,840,0.0,0.0,-0.00497968,0.100925,-2.689864,0.88032,0.082739,0.00693393,0
352256,850,0.0,0.0,-0.00110471,0.098499,-2.698838,0.86968,0.070264,0.00627395,0
356352,860,0.0,0.0,-0.00271522,0.100781,-2.722225,0.864103,0.065527,0.00673533,0
360448,870,0.0,0.0,-0.00478008,0.079736,-2.737538,0.841111,0.078979,0.00677952,0
364544,880,0.0,0.0,-0.00457797,0.087325,-2.752488,0.896082,0.075757,0.00722861,0
368640,890,0.0,0.0,-0.00377416,0.06405,-2.762986,0.804979,0.081128,0.0087635,0
372736,900,0.0,0.0,-0.0044934,0.069545,-2.764649,0.77699,0.08042,0.00713605,0
376832,910,0.0,0.0,-0.00164394,0.076185,-2.773332,0.731318,0.061182,0.00659633,0
380928,920,0.0,0.0,-0.00387025,0.060388,-2.769286,0.68998,0.069629,0.00621979,0
385024,930,0.0,0.0,-0.00494752,0.423456,-2.77324,0.308881,0.111084,0.00866222,0
389120,940,0.0,0.0,-0.00384423,0.107027,-2.808503,0.607752,0.080005,0.00807186,0
393216,950,0.0,0.0,-0.00430379,0.063582,-2.838673,0.57817,0.065186,0.00739863,0
397312,960,0.0,0.0,-0.00556855,0.053497,-2.880189,0.755654,0.098291,0.00988016,0
401408,970,0.0,0.0,-0.00566115,0.081535,-2.893743,0.623455,0.08938,0.00902087,0
405504,980,0.0,0.0,-0.00239818,0.119504,-2.89755,0.5586,0.059399,0.00493929,0
409600,990,0.0,0.0,-0.00350918,0.070605,-2.896293,0.681797,0.073706,0.0070122,0
413696,1000,0.0,0.0,-0.00372116,0.10273,-2.891423,0.579277,0.086304,0.00775049,0
417792,1010,0.0,0.0,-0.00373899,0.058393,-2.890354,0.589862,0.081616,0.00848154,0
421888,1020,0.0,0.0,-0.0034707,0.072803,-2.892308,0.604203,0.070239,0.00700822,0
425984,1030,0.0,0.0,-0.00518173,0.078287,-2.888915,0.614614,0.081494,0.00720762,0
430080,1040,0.0,0.0,-0.00461682,0.055447,-2.904968,0.664553,0.06062,0.00693149,0
434176,1050,0.0,0.0,-0.00298596,0.067517,-2.907364,0.603968,0.064478,0.00559137,0
438272,1060,0.0,0.0,-0.00256219,0.089578,-2.898134,0.645171,0.059058,0.0056991,0
442368,1070,0.0,0.0,-0.00328299,0.114868,-2.880689,0.698747,0.072241,0.00765621,0
446464,1080,0.0,0.0,-0.00313651,0.077798,-2.873249,0.509902,0.063208,0.00684251,0
450560,1090,0.0,0.0,-0.00309922,0.100689,-2.867143,0.716365,0.069263,0.00600512,0
454656,1100,0.0,0.0,-0.00271136,0.081787,-2.866281,0.680396,0.073975,0.007863,0
458752,1110,0.0,0.0,-0.00525603,0.065498,-2.868198,0.655851,0.089551,0.00845855,0
462848,1120,0.0,0.0,-0.005087,0.115662,-2.878935,0.578919,0.078223,0.00695519,0
466944,1130,0.0,0.0,-0.00303645,0.065976,-2.898774,0.659009,0.078003,0.00670301,0
471040,1140,0.0,0.0,-0.00352692,0.092035,-2.92647,0.739749,0.074121,0.00609264,0
475136,1150,0.0,0.0,-0.00380096,0.058347,-2.947053,0.67042,0.075366,0.00598598,0
479232,1160,0.0,0.0,-0.00451172,0.104466,-2.973086,0.595019,0.074878,0.00731149,0
483328,1170,0.0,0.0,-0.0033291,0.082093,-2.972423,0.633422,0.075244,0.00842129,0
487424,1180,0.0,0.0,-0.00227243,0.099274,-2.981579,0.604992,0.065381,0.00722621,0
491520,1190,0.0,0.0,-0.00386233,0.090647,-2.977513,0.661073,0.081445,0.00753438,0
495616,1200,0.0,0.0,-0.00321632,0.09238,-2.993336,0.585051,0.078003,0.0072891,0
499712,1210,0.0,0.0,-0.00547178,0.083702,-3.009397,0.640589,0.085205,0.00851116,0
503808,1220,0.0,0.0,-0.00385343,0.078515,-3.024287,0.735814,0.089966,0.00935185,0
507904,1230,0.0,0.0,-0.00468507,0.067075,-3.030333,0.696703,0.087085,0.00796669,0
512000,1240,0.0,0.0,-0.00289866,0.118927,-3.021462,0.601274,0.067383,0.00669585,0
516096,1250,0.0,0.0,-0.00697299,0.107407,-3.026155,0.635552,0.093115,0.00795394,0
520192,1260,0.0,0.0,-0.00334091,0.096458,-3.034027,0.673984,0.086963,0.00808958,0
524288,1270,0.0,0.0,-0.0044154,0.131567,-3.03388,0.640503,0.088525,0.00743545,0
528384,1280,0.0,0.0,-0.0032757,0.143967,-3.031758,0.617025,0.07688,0.00737645,0
532480,1290,0.0,0.0,-0.00349651,0.130413,-3.037285,0.502169,0.083105,0.00777883,0
536576,1300,0.0,0.0,-0.00287277,0.127593,-3.04713,0.671037,0.081152,0.00826269,0
540672,1310,0.0,0.0,-0.00408503,0.131819,-3.046696,0.723007,0.08562,0.00799196,0
544768,1320,0.0,0.0,-0.0056739,0.282152,-3.052144,0.58183,0.105493,0.01015192,0
548864,1330,0.0,0.0,-0.00352957,0.154338,-3.04219,0.703151,0.085547,0.00712158,0
552960,1340,0.0,0.0,-0.00592024,0.121251,-3.019722,0.745245,0.098218,0.00835996,0
557056,1350,0.0,0.0,-0.00685744,0.134107,-3.018057,0.608349,0.105396,0.00849359,0
561152,1360,0.0,0.0,-0.00395438,0.227124,-3.018982,0.678962,0.073755,0.0057098,0
565248,1370,0.0,0.0,-0.00418058,0.160298,-3.021239,0.695109,0.086499,0.00790836,0
569344,1380,0.0,0.0,-0.00299262,0.166786,-3.00609,0.706138,0.070386,0.00671973,0
573440,1390,0.0,0.0,-0.00355812,0.220105,-2.982634,0.653855,0.075317,0.00699252,0
577536,1400,0.0,0.0,-0.00518277,0.145782,-2.969991,0.719094,0.088062,0.00615227,0
581632,1410,0.0,0.0,-0.00333185,0.161864,-2.981933,0.786312,0.071899,0.00605195,0
585728,1420,0.0,0.0,-0.0046039,0.240647,-2.981171,0.717818,0.084082,0.0081239,0
589824,1430,0.0,0.0,-0.00351069,0.193832,-2.977681,0.691168,0.089478,0.00786854,0
