timestep,n_updates,ep_rew_mean,ep_len_mean,policy_loss,value_loss,entropy_loss,explained_variance,clip_fraction,approx_kl,fps
4096,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8192,10,0.0,0.0,-0.00251347,1.32281,-2.836695,-0.388654,0.025928,0.00400193,0
12288,20,0.0,0.0,-0.00344976,0.408015,-2.855899,0.727663,0.040039,0.00502418,0
16384,30,0.0,0.0,-0.00361803,0.284303,-2.881763,0.881285,0.053223,0.00509605,0
20480,40,0.0,0.0,-0.00331203,0.286269,-2.899592,0.931364,0.032178,0.00486036,0
24576,50,0.0,0.0,-0.00305884,0.30823,-2.913612,0.93959,0.041479,0.00603062,0
28672,60,0.0,0.0,-0.00437537,0.25361,-2.904633,0.956353,0.053833,0.00714384,0
32768,70,0.0,0.0,-0.00297049,0.349533,-2.883195,0.942562,0.041431,0.00516732,0
36864,80,0.0,0.0,-0.00426606,0.564378,-2.872842,0.910505,0.047656,0.00537554,0
40960,90,0.0,0.0,-0.00269485,0.391107,-2.876125,0.898174,0.036914,0.00505039,0
45056,100,0.0,0.0,-0.00214995,0.34697,-2.869988,0.935617,0.04812,0.00409322,0
49152,110,0.0,0.0,-0.00510038,0.350622,-2.866485,0.923268,0.065283,0.00670667,0
53248,120,0.0,0.0,-0.00343212,0.337659,-2.859552,0.932144,0.037573,0.00495767,0
57344,130,0.0,0.0,-0.00354732,0.389743,-2.844736,0.940925,0.035425,0.0049816,0
61440,140,0.0,0.0,-0.00487191,0.3839,-2.83255,0.937362,0.054517,0.00611367,0
65536,150,0.0,0.0,-0.00217335,0.589068,-2.832135,0.896608,0.034863,0.00489172,0
69632,160,0.0,0.0,-0.00170988,0.508499,-2.82621,0.870673,0.027173,0.00402425,0
73728,170,0.0,0.0,-0.00395206,0.422613,-2.823605,0.891708,0.061401,0.00543487,0
77824,180,0.0,0.0,-0.00235177,0.461508,-2.810372,0.875041,0.033569,0.00480359,0
81920,190,0.0,0.0,-0.00435339,0.466613,-2.80158,0.906763,0.055688,0.00457168,0
86016,200,0.0,0.0,-0.00317791,0.380466,-2.805925,0.898776,0.066943,0.0058202,0
90112,210,0.0,0.0,-0.00269504,0.40239,-2.803662,0.932959,0.054932,0.00490691,0
94208,220,0.0,0.0,-0.00352582,0.301787,-2.783361,0.940478,0.050977,0.00661565,0
98304,230,0.0,0.0,-0.00240622,0.266716,-2.766227,0.939963,0.042798,0.00414241,0
102400,240,0.0,0.0,-0.00249334,0.464401,-2.760558,0.91936,0.040137,0.00535677,0
106496,250,0.0,0.0,-0.00300206,0.602986,-2.753599,0.899305,0.062427,0.00644755,0
110592,260,0.0,0.0,-0.00695229,0.379537,-2.726348,0.922828,0.07417,0.00744656,0
114688,270,0.0,0.0,-0.00389679,0.373624,-2.710677,0.90901,0.049658,0.00471513,0
118784,280,0.0,0.0,-0.00192136,0.319962,-2.700181,0.911728,0.036938,0.00445487,0
122880,290,0.0,0.0,-0.005452,0.276688,-2.672237,0.935199,0.055664,0.00534743,0
126976,300,0.0,0.0,-0.00472396,0.389306,-2.652576,0.902327,0.056226,0.00505888,0
131072,310,0.0,0.0,-0.00404853,0.297243,-2.65235,0.907571,0.051636,0.0044422,0
135168,320,0.0,0.0,-0.00493993,0.445825,-2.66226,0.903597,0.05625,0.00581992,0
139264,330,0.0,0.0,-0.00333144,0.375533,-2.675815,0.918712,0.059961,0.00611831,0
143360,340,0.0,0.0,-0.00361498,0.413768,-2.659893,0.920348,0.048486,0.00377428,0
147456,350,0.0,0.0,-0.00352307,0.28755,-2.632821,0.923892,0.056787,0.00551992,0
151552,360,0.0,0.0,-0.00249114,0.356034,-2.6225,0.915277,0.04917,0.00575274,0
155648,370,0.0,0.0,-0.00471798,0.471468,-2.632488,0.891334,0.04646,0.00415561,0
159744,380,0.0,0.0,-0.00481027,0.416642,-2.636679,0.917634,0.066919,0.00765429,0
163840,390,0.0,0.0,-0.00219037,0.354803,-2.638253,0.916342,0.041235,0.0050015,0
167936,400,0.0,0.0,-0.00406454,0.346016,-2.676749,0.916727,0.048755,0.00505183,0
172032,410,0.0,0.0,-0.00640712,0.503966,-2.680932,0.87948,0.094092,0.00797989,0
176128,420,0.0,0.0,-0.00490101,0.270044,-2.687656,0.935794,0.079126,0.00722196,0
180224,430,0.0,0.0,-0.00520706,0.362375,-2.72621,0.924273,0.06167,0.00759745,0
184320,440,0.0,0.0,-0.0035488,0.453652,-2.765812,0.912877,0.052222,0.00534089,0
188416,450,0.0,0.0,-0.00551861,0.430043,-2.775766,0.935776,0.07644,0.00672893,0
192512,460,0.0,0.0,-0.00340664,0.503978,-2.78186,0.921601,0.052222,0.00580003,0
196608,470,0.0,0.0,-0.00367779,0.374096,-2.781103,0.946059,0.074146,0.00601594,0
200704,480,0.0,0.0,-0.003799,0.394774,-2.78755,0.948288,0.068115,0.00541968,0
204800,490,0.0,0.0,-0.00422195,0.501444,-2.787729,0.932696,0.066016,0.0064724,0
208896,500,0.0,0.0,-0.00523165,0.37799,-2.816569,0.949622,0.070044,0.00627706,0
212992,510,0.0,0.0,-0.00494813,0.384021,-2.852938,0.942404,0.060889,0.00610943,0
217088,520,0.0,0.0,-0.00372319,0.334862,-2.896365,0.946646,0.046582,0.00481746,0
221184,530,0.0,0.0,-0.00253931,0.611056,-2.920181,0.917658,0.062256,0.00571323,0
225280,540,0.0,0.0,-0.00484232,0.420712,-2.940139,0.935409,0.08562,0.0085636,0
229376,550,0.0,0.0,-0.00473534,0.327105,-2.965718,0.946438,0.07312,0.00708223,0
233472,560,0.0,0.0,-0.00577904,0.453453,-2.980854,0.927017,0.070068,0.00561896,0
237568,570,0.0,0.0,-0.00259595,0.425455,-2.990596,0.939164,0.061792,0.00566707,0
241664,580,0.0,0.0,-0.00480965,0.312618,-2.995615,0.960863,0.058008,0.00674319,0
245760,590,0.0,0.0,-0.00521172,0.390475,-3.001696,0.946861,0.057056,0.00662831,0
249856,600,0.0,0.0,-0.00301852,0.333447,-3.008697,0.944873,0.068188,0.00672641,0
253952,610,0.0,0.0,-0.00520148,0.220161,-3.008069,0.964813,0.077368,0.00723074,0
258048,620,0.0,0.0,-0.00353549,0.316468,-3.024752,0.936066,0.073364,0.00629794,0
262144,630,0.0,0.0,-0.00215927,0.342151,-3.047212,0.943488,0.049072,0.00555286,0
266240,640,0.0,0.0,-0.00377576,0.397921,-3.058957,0.939826,0.048462,0.0040932,0
270336,650,0.0,0.0,-0.00384531,0.310562,-3.073541,0.950235,0.056885,0.00582794,0
274432,660,0.0,0.0,-0.00414299,0.264545,-3.084021,0.948524,0.057153,0.00600442,0
278528,670,0.0,0.0,-0.00511234,0.326377,-3.109009,0.92357,0.0698,0.0077258,0
282624,680,0.0,0.0,-0.00345534,0.215339,-3.120918,0.957238,0.078467,0.00715263,0
286720,690,0.0,0.0,-0.00556518,0.190566,-3.12219,0.969217,0.091455,0.00731083,0
290816,700,0.0,0.0,-0.00542012,0.195035,-3.120496,0.969174,0.086475,0.00668736,0
294912,710,0.0,0.0,-0.00435996,0.283903,-3.124639,0.947027,0.085376,0.0088501,0
299008,720,0.0,0.0,-0.00354071,0.198137,-3.132806,0.96656,0.069189,0.00695451,0
303104,730,0.0,0.0,-0.00310244,0.224564,-3.12862,0.960906,0.049487,0.00598237,0
307200,740,0.0,0.0,-0.00878108,0.243583,-3.125677,0.955095,0.081689,0.00745368,0
311296,750,0.0,0.0,-0.0046538,0.144586,-3.121198,0.975295,0.092065,0.00812442,0
315392,760,0.0,0.0,-0.006085,0.471119,-3.126593,0.935932,0.079517,0.0082735,0
319488,770,0.0,0.0,-0.00690778,0.180413,-3.12167,0.964795,0.114868,0.00854495,0
323584,780,0.0,0.0,-0.00604134,0.133032,-3.099516,0.972977,0.090503,0.00708608,0
327680,790,0.0,0.0,-0.00479938,0.139419,-3.101674,0.978067,0.083643,0.00820262,0
331776,800,0.0,0.0,-0.00467322,0.149615,-3.103472,0.968883,0.061816,0.00648973,0
335872,810,0.0,0.0,-0.00395457,0.19079,-3.103346,0.966142,0.069629,0.00621568,0
339968,820,0.0,0.0,-0.00451216,0.150335,-3.096314,0.970826,0.074927,0.0064259,0
344064,830,0.0,0.0,-0.00241559,0.158591,-3.087232,0.971445,0.069727,0.0071678,0
348160,840,0.0,0.0,-0.0075431,0.121794,-3.081182,0.977394,0.107886,0.00686605,0
352256,850,0.0,0.0,-0.00537702,0.166251,-3.094367,0.96721,0.089575,0.0080099,0
356352,860,0.0,0.0,-0.00437858,0.14415,-3.119445,0.9708,0.057544,0.00499704,0
360448,870,0.0,0.0,-0.00398853,0.119552,-3.13523,0.976056,0.076318,0.00829756,0
364544,880,0.0,0.0,-0.00625041,0.128932,-3.144267,0.977479,0.085425,0.00682006,0
368640,890,0.0,0.0,-0.00336005,0.123172,-3.152234,0.972827,0.064551,0.00717215,0
372736,900,0.0,0.0,-0.00270232,0.214037,-3.14683,0.964215,0.055786,0.00588201,0
376832,910,0.0,0.0,-0.00475939,0.126796,-3.127122,0.976179,0.075122,0.00822991,0
